from,to,text,time_start,time_end,comment
VENUS26,DR2,good morning washington venus two six with you airborne climbing to three thousand,45.61,48.66,
VENUS26,DR2,washington good morning venus two six passing one point five for three thousand,64.61,68.05,
DR2,VENUS26,venus two six washington departure radar contact,68.05,71.13,
NWA1811,DR2,departure northwest eighteen eleven is with you passing one point six for five thousand,74.28,78.64,
DR2,NWA1811,northwest eighteen eleven washington departure roger,78.87,81.85,
DR2,NWA1811,northwest eighteen eleven is radar contact climb maintain niner thousand,81.89,85.98,
NWA1811,DR2,up to nine thousand northwest eighteen eleven,85.67,87.71,
ALO3691,DR2,allegheny thirty six ninety one is out of four hundred for two thousand,89.26,93.32,
DR2,ALO3691,allegheny thirty six ninety one departure radar contact maintain two thousand,93.29,97.10,
ALO3691,DR2,maintain two,97.29,98.55,
DR2,NWA1854,northwest eighteen fifty four expedite the climb to nine thousand please,110.82,114.68,
NWA1854,DR2,we'll expedite to nine northwest eighteen fifty four,115.22,118.01,
DR2,VENUS26,venus two six turn left heading three three zero join victor two sixty five,118.16,121.71,
VENUS26,DR2,three three zero to join victor two sixty five leveling three thousand,121.76,125.14,
DR2,VENUS26,venus two six climb maintain five thousand,124.85,127.34,
VENUS26,DR2,cleared five thousand two six,127.15,128.82,pilot omitted ident prefix
DR2,NWA1854,northwest eighteen fifty four charlie turn right heading zero seven zero contact washington one two one correction one two five point six five,128.60,136.04,
NWA1854,DR2,right to zero seven zero and twenty five sixty five northwest eighteen fifty four,136.17,140.40,
DR2,ALO3691,allegheny thirty six ninety one turn left heading zero four zero climb maintain four thousand,168.82,173.28,
ALO3691,DR2,left zero four zero and on up to ah four thousand allegheny thirty six ninety one,173.36,177.96,
DR2,NWA1811,northwest eighteen eleven contact washington departure one two five point six five,195.32,199.63,
NWA1811,DR2,twenty five sixty five northwest eighteen eleven,199.70,201.91,
TPS6420,DR2,trump sixty four twenty five hundred for five thousand,207.04,209.52,
DR2,TPS6420,trump sixty four twenty washington departure radar contact climb maintain niner thousand,209.47,214.05,
TPS6420,DR2,niner thousand sixty four twenty,216.36,218.20,pilot omitted ident prefix
DR2,ALO3691,allegheny thirty six ninety one climb and maintain four thousand expedite the climb,218.29,222.76,
ALO3691,DR2,okay we'll expedite allegheny thirty six ninety one to four thousand,222.71,227.02,
DR2,VENUS26,venus two six contact ah baltimore one two eight point seven,235.61,239.54,
VENUS26,DR2,twenty eight seven good morning,239.69,241.29,
DR2,VENUS26,morning,241.17,241.95,
DR2,N29A,aztec six six two nine alpha departure radar contact climb maintain three thousand,250.11,254.35,
N29A,DR2,climb maintain three thousand two nine alpha,254.47,257.28,pilot omitted ident prefix
DR2,ALO3691,allegheny thirty six ninety one turn right heading one two zero,275.18,278.92,
ALO3691,DR2,right one two zero allegheny thirty six ninety one,278.76,282.07,
DR2,N29A,november two nine alpha what is the ah heading on course going to be for novembe ninety two,307.59,312.83,
N29A,DR2,heading zero six six,313.13,315.21,
DR2,N29A,roger leaving ah leaving three thousand ah reaching three thousand resume your own navigation,315.31,320.64,
N29A,DR2,resume own reaching three thousand two nine alpha,321.29,324.67,pilot omitted ident prefix
DR2,TPS6420,trump sixty four twenty contact washington on one two five point six five,327.13,331.92,
TPS6420,DR2,trump sixty four twenty so long,332.31,334.19,
DR2,ALO3691,allegheny thirty six ninety one direct nottingham resume own nav,350.17,354.26,
ALO3691,DR2,direct nottingham allegheny thirty six ninety one,354.33,357.14,
