from,to,text,time_start,time_end,comment
UNK,UNK,twenty six point five five,1.01,2.88,tape began at the end of a transmission
N1WW,F2-1,one whiskey whiskey to one twenty six point five five,5.25,7.53,
F2-1,COA323,continental three twenty five descend and maintain five thousand,8.28,10.92,
COA323,F2-1,that's for continental three twenty three down to five thousand,11.95,14.14,
F2-1,COA323,i'm sorry it is for continental three twenty three descend and maintain five thousand,14.14,17.63,
COA323,F2-1,all right down to five,17.75,18.94,controller initially used the wrong id
USA686,F2-1,washington ah u s air six eighty six is ah with you level ten thousand,21.91,26.23,
F2-1,USA686,u s air six eighty six proceed direct to washington,26.23,28.43,
USA686,F2-1,directly to washington six eighty six,28.89,30.93,
F2-1,N1HM,november one ho- november one hotel mike traffic no factor descend and maintain two thousand five hundred,65.31,70.24,
DAL501,F2-1,delta five zero one checking in we're ah ten thousand,72.15,74.44,
F2-1,DAL501,delta five zero one washington approach roger,74.55,76.78,
N1HM,F2-1,out of four for two point five one hotel mike,77.02,78.95,
F2-1,N1HM,roger,78.95,79.54,
F2-1,COA323,continental three twenty three turn left heading one eight zero,87.49,89.75,
COA323,F2-1,left one eight zero three twenty three,90.85,92.61,
F2-1,N1HM,november one hotel mike your traffic at the airport is a northwest d c nine at two o'clock four miles northbound out of twenty four hundred feet descending,92.99,100.85,
N1HM,F2-1,in sight,101.20,101.77,
F2-1,N1HM,november one hotel mike turn right heading two five zero follow the northwest d c nine and you're cleared for the mount vernon visual approach runway three six,102.07,110.45,
N1HM,F2-1,two five zero we're cleared for the mount vernon visual one hotel mike,110.79,113.63,
F2-1,COA323,continental three twenty three traffic at ah eleven o'clock to you now through the turn four miles northbound a bonanza out of three for four thousand,115.30,122.29,
COA323,F2-1,ah three twenty three we'll look for him,123.57,125.53,
F2-1,USA686,u s air six eighty six descend and maintain six thousand,133.18,135.71,
USA686,F2-1,six thousand six eighty six,136.09,137.80,
F2-1,N1HM,november one hotel mike traffic at eleven o'clock to you now make it twelve o'clock now through the turn and a mile and a half northeast bound altitude indicates three thousand now it may be an erroneous mode c it was at sixteen hundred feet a moment ago,142.86,156.03,
N1HM,F2-1,in sight,156.94,157.61,
F2-1,N1HM,roger and ah what altitude do you show him at,157.87,160.74,
N1HM,F2-1,approximately two thousand,162.62,163.72,
F2-1,N1HM,all right thank you,164.06,165.07,
F2-1,COA323,continental three twenty three traffic no factor,167.70,169.78,
COA323,F2-1,three twenty three,170.36,171.27,
F2-1,N1HM,lear one hotel mike contact the tower now one one niner point one,177.46,180.47,
N1HM,F2-1,good afternoon sir,180.50,181.41,
F2-1,COA323,continental three twenty three descend and maintain two thousand five hundred,182.91,185.67,
COA323,F2-1,two thousand five hundred three twenty three,185.94,187.90,
F2-1,USA686,u s air six eighty six traffic twelve o'clock four miles northbound a bonanza out of four for five thousand,191.24,196.48,
USA686,F2-1,six eighty six we're looking,196.67,197.96,
F2-1,COA323,continental three twenty three turn right heading two seven zero,220.42,222.91,
COA323,F2-1,right to two seven zero three twenty three,223.39,225.35,
F2-1,USA686,u s air six eighty six turn left heading one eight zero,226.17,228.24,
USA686,F2-1,one eight zero six eighty six,228.35,230.04,
F2-1,DAL501,delta five zero one turn right heading two seven zero,235.49,237.92,
DAL501,F2-1,ah left to two seven zero delta five oh one,239.13,241.07,
F2-1,DAL501,i'm sorry left to heading two seven zero,241.11,242.66,
DAL501,F2-1,okay the other left thanks,243.38,244.73,
F2-1,DAL501,roger,244.77,245.28,
F2-1,COA323,continental three twenty three turn right heading two niner zero descend to one thousand six hundred,245.37,248.98,
COA323,F2-1,two nine zero down to one thousand six hundred,249.78,251.33,
COA323,F2-1,ah no joy on the lear,264.54,266.23,
F2-1,COA323,continental three twenty three do you have the river in sight,281.64,283.81,
COA323,F2-1,yes we do,284.38,285.42,
F2-1,COA323,continental three twenty three cleared for the mount vernon visual approach runway three six,285.58,288.45,
COA323,F2-1,cleared for approach,288.86,289.96,
F2-1,COA323,continental three twenty three you'll need to start slowing to stay behind the lear jet he's three and a half ahead,290.71,294.63,
COA323,F2-1,ah okay no joy on the lear but we're slowing,295.34,297.99,
F2-1,COA323,all right thank you sir,298.03,299.04,
F2-1,COA323,continental three twenty three tower nineteen one,308.97,311.27,
COA323,F2-1,nineteen one,311.93,312.75,
F2-1,DAL501,delta five zero one descend and maintain five thousand,334.00,336.66,
DAL501,F2-1,down to five thousand delta five oh one is leaving ten,337.89,340.44,
F2-1,USA686,u s air six eighty six turn right heading two one zero descend and maintain two thousand five hundred,340.58,344.20,
DAL501,F2-1,two one zero two thousand five hundred u s air six eighty six,344.53,348.46,
DAL501,F2-1,how long is the final for delta five oh one,357.99,359.70,
F2-1,DAL501,delta five zero one about eight miles you're following a u s air jet he's ah going to start his base here momentarily he's eleven o'clock and six miles out of fifty eight hundred feet descending,359.83,367.94,
DAL501,F2-1,okay ah we'll get right down thanks,368.24,370.56,
F2-1,DAL501,delta five zero one roger,370.56,371.75,
F2-1,USA686,u s air six eighty six turn right heading two five zero,371.90,374.73,
USA686,F2-1,right two five zero six eighty six,375.08,376.95,
F2-1,USA686,u s air six eighty six if practical in descend begin slowing,376.95,379.66,
USA686,F2-1,okay we're slowing it back ah six eighty six,382.34,384.51,
F2-1,USA686,thank you sir,384.51,385.04,
F2-1,DAL501,delta five zero one turn left heading two five zero,385.19,387.62,
DAL501,F2-1,two five zero delta five oh one,387.85,389.40,
TWA317,F2-1,approach t w a three seventeen is ah leveling at ten thousand,405.22,408.40,
F2-1,TWA317,t w a three seventeen washington approach expect a ten mile final,408.55,412.00,
TWA317,F2-1,t w a three seventeen,412.22,413.34,
F2-1,USA686,u s air six eighty six descend to one thousand six hundred,416.50,418.96,
USA686,F2-1,sixteen hundred six eighty six,419.14,420.81,
F2-1,DAL501,delta five zero one descend and maintain three thousand,421.04,423.44,
DAL501,F2-1,down to three thousand delta five oh one,424.63,426.46,
F2-1,USA686,u s air six eighty six turn right heading three five zero advise the river in sight,430.16,433.77,
USA686,F2-1,three five zero we've got the river in sight six eighty six,434.08,436.83,
F2-1,USA686,u s air six eighty six cleared for the mount vernon visual approach runway three six,436.83,440.26,
USA686,F2-1,cleared the approach mount vernon visual ah u s air six eighty six,440.67,443.93,
F2-1,USA686,u s air six eighty six contact the tower now one one niner point one,460.53,463.81,
USA686,F2-1,nineteen one so long thanks,464.01,465.31,
F2-1,USA686,so long,465.31,465.94,
F2-1,DAL501,delta five zero one you're number three on the approach now you're gonna follow a beech oh two from the west side turn left heading one niner zero,466.75,472.90,
DAL501,F2-1,okay one ninety on the heading delta five oh one we got that tra- we got ah ah the d c nine,473.67,478.22,
F2-1,DAL501,ah yeah there's going to be a beech oh two turning in from his left side to follow him you're going to be behind the beech oh two now,478.10,483.89,
DAL501,F2-1,all right,484.15,484.65,
F2-1,DAL501,expect about a ten mile final,485.44,486.94,
F2-1,DAL501,delta five zero one turn right heading two seven zero,513.27,515.86,
DAL501,F2-1,two seventy delta five oh one,516.09,517.51,
F2-1,DAL501,delta five zero one if you could give me a good right turn there heading three three zero now,526.50,530.14,
DAL501,F2-1,tight right turn three three zero heading delta five oh one,530.42,532.82,
F2-1,DAL501,delta five zero one just turn right heading three five zero now and advise ah you do have the river in sight,538.50,543.20,
DAL501,F2-1,yes sir three fifty heading we have the river and the airport,543.32,545.78,
F2-1,DAL501,delta five zero one cleared for the mount vernon visual approach runway three six fly heading three four zero to join the river and if you would start slowing to your approach speed,545.72,553.76,
DAL501,F2-1,we're slowing now and ah we're going to turn ah right to three forty now and we're cleared for the mount vernon river approach for three six thank you,553.79,560.90,
F2-1,DAL501,thank you,560.90,561.50,
TPS6511,F2-1,ah hello washington trump sixty five eleven is with you at ah ten thousand with ah i forgot the identifier fox,562.31,570.28,
F2-1,TPS6511,trump sixty five eleven proceed direct washington,576.14,578.56,
DAL501,F2-1,okay a hundred and seventy oxonn on nineteen one so long,587.14,589.75,
F2-1,DAL501,so long,589.88,590.44,
USA1627,F2-1,washington approach ah good evening it's u s air sixteen twenty seven one zero thousand with foxtrot,592.49,596.96,
F2-1,USA1627,u s air sixteen twenty seven washington approach expect a ten mile final,597.19,600.91,
USA1627,F2-1,roger,601.83,602.54,
F2-1,TWA317,t w a three seventeen turn left heading two five zero descend and maintain seven thousand,620.14,624.44,
TWA317,F2-1,two five zero seven thousand t w a three seventeen,624.96,627.67,
F2-1,NAE4985,eagle flight forty nine eighty five descend and maintain four thousand,627.68,630.76,"aircraft did not acknowledge, could possibly be on another frequency and the controller is transmitting simultaneously on both"
F2-1,SWIFT61,swift six one washington approach fly heading zero four zero vectors i l s runway one left at andrews,647.76,652.25,this is a military aircraft probably on u h f
F2-1,SWIFT61,swift six one descend and maintain eight thousand,658.65,661.04,
F2-1,NAE4985,eagle flight forty nine eighty five fly heading two niner zero,668.03,670.74,
F2-1,DAL501,delta five zero one tower nineteen one,673.96,675.87,
F2-1,TPS6511,trump sixty five eleven descend and maintain five thousand,688.84,691.51,
TPS6511,F2-1,ah five thousand sixty five eleven,692.04,694.13,
F2-1,NAE4985,eagle flight forty nine eighty five i didn't tell you expect a visual to runway thirty three,703.44,707.14,
UNK,F2-1,thank you,709.22,709.62,
F2-1,TWA317,t w a three seventeen turn right heading two seven zero,714.09,716.60,
TWA317,F2-1,two seven zero t w a three seventeen,716.58,718.30,
F2-1,TWA317,t w a three seventeen descend and maintain five thousand,720.30,722.79,
TWA317,F2-1,five thousand t w a three seventeen three seventeen,723.16,725.71,
F2-1,SWIFT61,swift six one descend and maintain five thousand,730.35,733.35,
F2-1,SWIFT61,swift six one turn right heading zero five zero and ah join the localizer descend and maintain three thousand,739.87,745.98,
F2-1,SWIFT61,swift six one traffic at um one o'clock four miles north bound altitude indicates four thousand eight hundred,757.75,764.36,
F2-1,TWA317,t w a three seventeen descend and maintain three thousand and turn left heading two five zero again please,767.67,773.23,
TWA317,F2-1,left two fifty and down to three thousand t w a three seventeen,773.29,775.94,
F2-1,TWA317,be three thousand,776.00,776.91,
TWA317,F2-1,roger three thousand,777.54,779.34,
F2-1,TWA317,thank you sir,779.24,779.74,
F2-1,TPS6511,trump sixty five eleven turn left heading one eight zero,779.74,781.94,
TPS6511,F2-1,sixty five eleven,782.73,783.79,
F2-1,USA1627,u s air sixteen twenty seven reduce speed to two one zero,784.05,786.82,
USA1627,F2-1,u s air sixteen twenty seven roger sir reduce to two one zero,787.01,789.72,
F2-1,NAE4985,eagle flight forty nine eighty five reduce speed to one niner zero if you're above that,791.11,794.44,
F2-1,TWA317,t w a three seventeen you'll need to start slowing you're following u s air seven thirty seven at ah one o'clock six miles north bound for the river out of ah thirty seven hundred feet descending,798.09,807.06,
TWA317,F2-1,okay no contact sir we're slowing t w a three seventeen,807.31,810.08,
F2-1,NAE4985,eagle flight forty nine eighty five reduce speed to one seven zero,813.55,816.14,
F2-1,TWA317,t w a three seventeen turn right heading two seven zero,819.49,821.81,
TWA317,F2-1,two seven zero t w a three seventeen,821.94,823.48,
F2-1,NAE4985,eagle flight forty nine eighty five proceed direct to washington reduce speed to one five zero now,824.41,828.55,
F2-1,USA1627,u s air sixteen twenty seven turn left heading two seven zero descend and maintain seven thousand,831.67,835.83,
USA1627,F2-1,left two seven zero descend to seven thousand u s air sixteen twenty seven,835.97,838.97,
