from,to,text,time_start,time_end,comment
LC-1,USA698,u s air six ninety eight verify you do have the trump following in sight,3.38,5.93,
USA698,LC-1,affirmative six ninety eight,7.57,8.67,pilot omitted ident prefix
LC-1,USA698,u s air six ninety eight follow him visually,8.75,10.54,
USA698,LC-1,six ninety eight,11.08,11.62,pilot omitted ident prefix
LC-1,COA433,runway three six continental four thirty three taxi into position and hold traffic will depart three three,12.81,17.89,
COA433,LC-1,position and hold on three six continental four thirty three,18.46,20.62,
N4NP,LC-1,tower four november pop's short final runway three,22.36,24.53,pilot omitted ident prefix
LC-1,USA698,u s air six ninety eight contact departure,26.43,28.30,
USA698,LC-1,six ninety eight so long,28.81,29.92,pilot omitted ident prefix
LC-1,NWA312,northwest three twelve if able left turn down india,31.05,33.47,
NWA312,LC-1,unable,35.14,35.56,
LC-1,NWA312,roger left turn on three three for northwest three twelve minimum delay on it please ground point seven clearing on juliet,36.60,41.81,
N4NP,LC-1,tower four november pop's short final runway three,44.59,46.70,pilot omitted ident prefix
LC-1,N4NP,four november pop you are cleared to land on runway three the wind zero five zero at four,47.01,50.38,controller omitted ident prefix
N4NP,LC-1,four november pop,50.91,51.84,pilot omitted ident prefix
LC-1,NWA312,northwest three twelve left turn at the end hold short of runway three three and remain on this frequency,53.56,57.63,
NWA312,LC-1,hold short of three three on juliet northwest three twelve,58.13,60.24,
LC-1,GAA640,runway three bizex six forty taxi into position and hold traffic will utilize the other runways,60.66,64.45,
AAL766,LC-1,how about a landing clearance for american seven six six,67.15,69.26,
LC-1,N4NP,four november papa left turn next taxiway hold shor- short of three six remain on this frequency,69.74,73.63,controller omitted ident prefix
N4NP,LC-1,four november pop,73.91,74.41,pilot omitted ident prefix
LC-1,COA433,continental four thirty three runway three six cleared for takeoff wind's calm,75.26,78.81,
COA433,LC-1,cleared to go on three six continental four thirty three,79.08,80.93,
LC-1,AAL766,american seven sixty six runway three six cleared to land,81.18,83.97,
AAL766,LC-1,cleared to land thirty six american seven six six,84.87,86.75,
LC-2,TPR8,trooper eight washington tower standby,90.17,92.03,aircraft apparently on another frequency
N3AS,LC-2,and three alpha sierra's on a visual,96.42,97.67,
LC-2,N4NP,four november papa without delay cross runway three six,105.63,108.12,
LC-2,HNA4452,henson forty four fifty two fly heading two eight zero runway three three cleared for takeoff traffic's two out for runway three six,112.67,117.56,
HNA4452,LC-2,on the roll forty four fifty two,118.00,119.30,pilot omitted ident prefix
UNK,LC-2,ah wind check please,123.62,124.51,
LC-2,UNK,wind zero six zero at three,125.77,127.17,
UNK,LC-2,thank you,127.63,127.86,
LC-2,COA433,continental four thirty three contact departure good day,144.48,146.41,
COA433,LC-2,morning four thirty three,146.88,147.89,pilot omitted ident prefix
NWA312,LC-2,cleared to cross three three and contact ground point seven northwest three twelve,152.37,155.18,
LC-2,N3AS,november three alpha sierra runway three six cleared to land wind zero five zero at three,155.22,158.59,
N3AS,LC-2,okay thanks a lot cleared to land,159.18,160.07,
LC-2,TPR8,trooper eight go ahead,160.30,161.07,aircraft apparently on another frequency
USA734,LC-2,u s air seven thirty four sir,163.01,164.43,
LC-2,USA734,u s air seven thirty four plan on runway three three,169.33,171.48,
USA734,LC-2,okay,171.95,172.34,
LC-2,GAA640,runway three bizex six forty wind zero four zero at five cleared for takeoff,172.80,177.09,
LC-2,HNA4452,henson forty four fifty two maintain three thousand contact departure good day,184.52,187.40,
HNA4452,LC-2,forty four fifty two,188.12,188.85,pilot omitted ident prefix
LC-2,AAL766,american seven sixty six runway three three is approved,189.16,191.51,
AAL766,LC-2,seven sixty six thank you,192.50,193.85,pilot omitted ident prefix
LC-2,HNA4444,henson forty four forty four runway three taxi into position and hold traffic will cross down field two times,199.72,203.75,
HNA4444,LC-2,forty four forty four on to hold,204.26,206.57,
LC-2,GAA640,bizex six forty contact departure good day,216.41,218.10,
GAA640,LC-2,see you later,218.47,219.13,
LC-2,TPR8,trooper eight report joining route four,221.15,222.58,aircraft apparently on another frequency
LC-2,HN435,hotel november four three five frequency change correction the frequency change is approved good day,225.77,228.97,aircraft apparently on another frequency
COA305,LC-2,continental three oh five checking in ten miles,231.69,233.79,
LC-2,COA305,continental three oh five correction ah continental three oh five continue inbound,234.00,237.50,
LC-2,COA306,continental three oh six runway three six taxi in position and hold,243.04,244.98,
COA306,LC-2,continental three oh six position and hold,245.86,247.85,
LC-2,TPR8,trooper eight thank you,253.51,254.35,aircraft apparently on another frequency
LC-2,N3AS,november three alpha sierra first available left turn you can turn left on india ground point seven,255.17,258.58,
LC-2,COA306,continental four correction three oh six cleared for immediate departure,260.61,263.31,
COA306,LC-2,continental three zero six cleared for immediate,263.82,265.83,
LC-2,COA306,continental three zero six traffic's two out for three three runway three six cleared for takeoff wind zero three zero at three,266.75,271.14,
COA306,LC-2,continental three zero six rolling,271.92,273.48,
LC-2,USA734,u s air seven thirty four cleared to land runway ah three three,274.01,276.36,
USA734,LC-2,thank you,276.60,277.16,
LC-2,TPR8,trooper eight do you have the u s air jet off your right side,277.48,279.39,
LC-2,TPR8,trooper eight ah roger he'll land runway three three maintain visual plan to pass behind him,282.90,286.61,aircraft apparently on another frequency
LC-2,USA734,u s air seven thirty four there's helicopter off your left side following the river same direction he will pass behind you he's maintaining visual separation,288.80,295.14,
USA734,LC-2,okay,295.34,295.73,
LC-2,COA305,continental three zero five circle to land runaway three three wind zero four zero at three cleared to land number two,302.34,306.73,
COA305,LC-2,continental three oh five roger,308.13,309.41,
LC-2,COA306,continental three zero six contact departure good day,313.79,315.59,
COA306,LC-2,good day,316.35,316.72,
LC-2,NWA1832,runway ah three six northwest eighteen thirty two taxi in position and hold traffic will depart runway three,321.89,327.76,
NWA1832,LC-2,position and hold northwest eighteen thirty two,328.23,330.17,
LC-2,HNA4444,henson forty four forty four ah runway three the wind zero four zero at three cleared for takeoff,349.81,354.50,
HNA4444,LC-2,henson forty four forty four,355.05,356.64,
LC-2,TPR8,trooper eight traffic's a dash seven departing runway three advise him in sight,357.01,360.43,aircraft apparently on another frequency
LC-2,USA734,u s air seven thirty four left at the end ground point seven good day,363.19,365.77,
USA734,LC-2,bye,365.73,366.13,
LC-2,TPR8,trooper eight maintain visual with that traffic,371.88,373.50,aircraft apparently on another frequency
LC-2,NWA1832,northwest eighteen thirty two runway three six wind zero five zero at three cleared for takeoff traffic two out for runway three three,376.98,382.11,
NWA1832,LC-2,cleared for takeoff northwest eighteen thirty two,383.17,385.40,
LC-2,AAL1377,american thirteen seventy seven runway three six taxi in position and hold traffic landing runway three three,385.71,389.84,
AAL1377,LC-2,position and hold three six american thirteen seventy seven,390.33,392.64,
LC-2,HNA4444,henson forty four forty four contact departure good day,399.95,401.99,
HNA4444,LC-2,forty four forty four so long,402.36,403.65,pilot omitted ident prefix
N151,LC-2,wash tower cherokee three two one five one on ah a extended base for runway three,408.54,413.47,
LC-2,N151,cherokee one five one wash tower runway three wind zero five zero at three cleared to land,413.75,417.88,
N151,LC-2,cleared to land runway three,418.35,419.54,
LC-2,NWA1832,northwest eighteen thirty two contact departure good day,433.00,435.00,
NWA1832,LC-2,good day northwest eighteen thirty two,435.45,437.07,
LC-2,AAL1377,american thirteen seventy seven runway three six wind calm cleared for takeoff,453.29,456.77,
AAL1377,LC-2,cleared for takeoff runway three six american thirteen seventy seven,457.08,459.45,
LC-2,TPS6600,trump sixty six hundred runway three six taxi in position and hold,459.82,462.52,
TPS6600,LC-2,okay position and hold trump sixty six hundred,464.52,466.40,
LC-2,COA305,continental three oh five left at the end ground point seven good day,466.63,469.18,
COA305,LC-2,three oh five,469.37,469.90,
LC-2,HNA4392,henson ah forty three ninety two runway three three taxi in position and hold traffic's departing runway three six,470.21,476.10,
HNA4392,LC-2,on and hold henson forty three ninety two,476.59,478.47,
USA890,LC-2,u s air eight ninety six and a half mile final,483.22,484.73,
LC-2,USA890,u s air eight ninety washington tower circle to land runway three three wind calm cleared to land runway three three,485.20,489.60,
USA890,LC-2,cleared to land runway three three u s air eight ninety,489.95,491.73,
LC-2,HNA4392,henson forty three ninety two after departure turn left heading two eight zero maintain three thousand wind zero three zero at three cleared for takeoff,494.42,502.38,
HNA4392,LC-2,two eight zero cleared to go ah and three thousand,503.67,505.88,
LC-2,HNA4392,yes sir,506.15,506.72,
HNA4392,LC-2,okay we're on the roll,507.29,508.13,
LC-2,TPS6600,trump sixty six hundred hold in position traffic will land runway three,508.38,511.26,
TPS6600,LC-2,holding in position trump sixty six hundred,511.89,513.79,
LC-2,AAL1377,american thirteen seventy seven contact departure good day,520.63,522.60,
AAL1377,LC-2,good day,522.93,523.25,
LC-2,HNA4356,henson forty three fifty six runway three taxi in position and hold traffic using the other two runways,536.06,539.97,
LC-2,HNA4392,henson forty three ninety two ah heading two eight zero maintain four thousand now and contact departure good day,543.58,548.17,
HNA4392,LC-2,good day sir,548.43,548.93,
LC-2,N151,cherokee one five one advise if you can make the next left turn,549.46,551.69,
N151,LC-2,no problem,552.16,552.74,
LC-2,N151,roger left ground point seven good day,553.06,554.48,
N151,LC-2,good day thanks a lot,554.82,555.60,
LC-2,TPS6600,trump sixty six hundred cleared for takeoff wind calm,555.86,557.90,
TPS6600,LC-2,cleared to go trump ah sixty six hundred,558.42,560.38,
LC-2,NWA1807,northwest eighteen oh seven runway three six position and hold traffic landing runway three three,560.74,564.37,
NWA1807,LC-2,position and hold northwest eighteen zero seven,564.49,566.45,
LC-2,NWA1855,northwest eighteen fifty five washington tower runway three six wind calm cleared to land,590.64,593.75,
NWA1855,LC-2,cleared to land eighteen fifty five,595.33,596.39,pilot omitted ident prefix
LC-2,TPS6600,trump sixty six hundred contact departure we'll see you,611.22,613.36,
TPS6600,LC-2,so long now,613.77,614.52,
LC-2,HNA4356,henson forty three fifty six wind's are calm runway three cleared for takeoff,621.83,626.20,
LC-2,USA890,u s air eight ninety thanks for the help left at the end ground point seven good day,639.55,642.75,
USA890,LC-2,good day,643.14490,643.40143,
LC-2,NWA1807,northwest eighteen zero seven traffic's on a four mile final runway three six wind calm cleared for takeoff,650.87,655.15,
NWA1807,LC-2,northwest eighteen zero seven cleared to go three six,655.77,657.83,
LC-2,RBD740,redbird seven forty runway three taxi in position and hold traffic will land ah runway three six,658.71,662.95,
