from,to,text,time_start,time_end,comment
ASA484,AR1-1 ,regional approach asea four eight four five thousand feet two one zero,3.94,6.91,weak transmission
AR1-1,ASA484 ,asea four eighty four regional approach fly heading two seven zero i l s three five right,7.13,10.01,
ASA484,AR1-1 ,two seven zero asea four eighty four,10.08,11.37,weak transmission
AR1-1,AAL355 ,american three fifty five descend and maintain four thousand,21.28,23.49,
AR1-1,AAL355 ,american three fifty five i'll tell you what turn right now heading of ah two niner zero,34.73,37.96,
AAL355,AR1-1 ,two nine zero heading american three fifty five,38.07,40.59,weak transmission
AR1-1,AAL355 ,american three fifty five turn right heading three zero zero,55.63,58.19,
AR1-1,AAL355 ,american three fifty five descend and maintain three thousand,89.22,91.41,
AAL355,AR1-1 ,down to three thousand american three fifty five,91.58,93.86,weak transmission
AR1-1,AAL355 ,american three fifty five turn right er correction ah reduce your speed to ah one niner zero,104.60,108.82,
AAL355,AR1-1 ,reduce to a hundred and ninety knots american three fifty five,109.95,112.80,weak transmission
AR1-1,AAL355 ,american three fifty five traffic at nine o'clock and three miles turning final to the west side has you in sight you can turn right heading of three two zero and join the three five right localizer,113.41,120.34,
AAL355,AR1-1 ,we got the traffic ah three twenty on the heading join the localizer american three fifty five,120.47,124.93,weak transmission
AR1-1,ASA484 ,asea four eighty four descend and maintain four thousand,127.78,129.74,
ASA484,AR1-1 ,four for asea four eighty four,129.81,131.27,weak transmission
AR1-1,AAL355 ,american three fifty five is ah four miles from the outer marker maintain three thousand until established on the localizer and reduce speed to one seven zero maintain that to the marker cleared i l s runway three five right approach,134.36,142.84,
AR1-1,ASA484 ,asea four eighty four turn right heading three two zero,154.08,156.23,
ASA484,AR1-1 ,three two zero asea four eighty four,156.31,157.60,weak transmission
AR1-1,AAL355 ,american three fifty five contact tower now one two six point five five good day,166.05,168.98,
AAL355,AR1-1 ,twenty six fifty five good day,169.11,170.81,
AR1-1,ASA484 ,asea four eighty four turn right heading three three zero and join the runway three five right localizer,177.72,181.74,
ASA484,AR1-1 ,three three zero join three five right localizer asea four eighty four,181.81,184.50,
AR1-1,ASA484 ,asea four eighty four reduce speed to one eight zero,205.95,207.88,
ASA484,AR1-1 ,one eight zero asea four eighty four,208.12,209.43,weak transmission
AR1-1,ASA484 ,asea four eighty four continue that speed reduction now to ah one seven zero then descend and maintain three thousand to intercept three five right localizer,222.03,228.48,
AR1-1,ASA484 ,asea four eighty four is ah four and a half from the marker maintain three thousand until established on the localizer caution wake turbulence you're four and a half behind a seven twenty seven cleared i l s runway three five right approach,243.46,251.68,
ASA484,AR1-1 ,cleared i l s three five right asea four eighty four,251.88,253.63,
AR1-1,ASA484 ,asea four eighty four if you would continue speed reduction down about one six zero,262.48,265.87,
ASA484,AR1-1 ,down to one six zero asea four eighty four,266.17,267.83,
AAL586,AR1-1 ,approach american five eighty six is with you we're level six,274.89,277.59,
AR1-1,AAL586 ,american five eighty six regional approach descend and maintain four thousand turn right heading one seven zero,277.70,281.36,
AAL586,AR1-1 ,yeah we're in a right turn to one seventy on down to four american five eighty six out of six,281.54,285.04,
AR1-1,ASA484 ,asea four eighty four contact tower now one two six point five five good day,285.89,288.73,
ASA484,AR1-1 ,twenty six five five asea four eighty four,288.84,290.37,weak transmission
AR1-1,AAL586 ,american five eighty six turn right heading one eight zero,322.39,324.75,
AAL586,AR1-1 ,one eighty american five eighty six,324.99,326.68,
AR1-1,AAL586 ,american five eighty six turn right heading of two five zero reduce speed to one niner zero,349.10,352.72,
AAL586,AR1-1 ,okay reduce to one ninety and two fifty on the heading american five eighty six,353.34,356.59,
AR1-1,CAL531 ,continental five thirty one regional approach expect an i l s to runway three six left localizer frequency one one one point niner,356.79,361.72,
CAL531,AR1-1 ,one one one point niner and thirty six left ah continental five thirty one,362.05,365.87,
AR1-1,AAL586 ,american five eighty six reduce your speed to one ah eight zero,373.01,376.14,
AAL586,AR1-1 ,one eighty american five eighty six,376.38,377.97,weak transmission
AR1-1,AAL586 ,american five eighty six turn right heading of three two zero seven miles from the marker maintain four thousand until established on the localizer cleared i l s runway three five right approach,412.34,419.36,
AAL586,AR1-1 ,yeah we're coming right around,429.86,431.08,
AR1-1,AAL586 ,american five eighty six maintain one eight zero knots to the marker caution wake turbulence you're seven behind a heavy jet contact tower one two six point five five nice job good day sir,445.82,452.24,
AAL230,AR1-1 ,approach american two thirty heavy with you down to six and we're heading of one seven zero,462.99,467.58,
AR1-1,AAL230 ,american two thirty heavy regional approach reduce speed to one niner zero expect i l s three five right,473.55,477.04,
AAL230,AR1-1 ,a hundred and ninety on the knots american two thirty heavy,478.05,480.49,
AR1-1,CAL531 ,continental five thirty one reduce speed to two one zero,480.55,482.44,
CAL531,AR1-1 ,slow to two ten now for continental five thirty one,482.75,486.19,
AR1-1,CAL531 ,continental five thirty one descend and maintain four thousand,502.27,504.38,
AR1-1,AAL230 ,american two thirty heavy descend and maintain four thousand,515.36,517.38,
AAL230,AR1-1 ,down to four thousand american two thirty heavy,518.18,520.23,
AR1-1,CAL531 ,continental five thirty one turn right heading two niner zero,539.73,541.99,
CAL531,AR1-1 ,two nine zero now for continental five thirty one,542.41,545.10,weak transmission
AR1-1,CAL531 ,ah tell you what lets make it heading three zero zero continental five thirty one three hundred,545.43,548.58,
CAL531,AR1-1 ,three zero zero now on the heading for continental five thirty one,548.76,551.80,
AR1-1,CAL531 ,continental five thirty one descend and maintain three thousand,559.60,561.69,
CAL531,AR1-1 ,descend and maintain three thousand now for continental five thirty one,562.15,565.17,weak transmission
AR1-1,CAL531 ,okay just maintain visual separation with him he's going to join the thirty five right localizer and ah he'll be on approach to that runway,577.93,583.25,
AAL858,AR1-1 ,american eight fifty eight out of seven and a half for six hundred and ninety knots,585.84,588.37,
AR1-1,AAL858 ,american eight fifty eight regional approach roger i l s three five right caution wake turbulence in trail with a heavy jet descend and maintain four thousand,588.59,593.34,
AAL858,AR1-1 ,down to four thousand american eight fifty eight,593.76,595.32,
AR1-1,CAL531 ,continental five thirty one turn right heading of three two zero intercept the runway three six left localizer seven and a half from the marker maintain three thousand until established cleared i l s runway three six left approach,595.45,603.81,
AR1-1,AAL230 ,american two thirty heavy turn right heading two four zero,609.33,611.46,
AAL230,AR1-1 ,two four zero american two thirty,611.64,613.93,weak transmission
AR1-1,CAL531 ,continental five thirty one maintain one eight zero knots to the outer marker,614.17,617.01,
CAL531,AR1-1 ,maintain one eighty to the marker continental five thirty one,617.30,620.09,
AR1-1,CAL531 ,continental five thirty one contact the tower now one two four point one five good day,635.71,638.70,
CAL531,AR1-1 ,twenty four fifteen good day five thirty one,638.84,640.91,
AR1-1,AAL230 ,american two thirty heavy turn right heading two five zero,641.29,643.46,
AAL230,AR1-1 ,right two five zero american two thirty heavy,643.97,645.93,
AR1-1,AAL858 ,american eight fifty eight turn right heading one eight zero correction one nine zero,646.06,648.88,
AAL858,AR1-1 ,one nine zero heading american eight fifty eight,649.32,650.94,
AR1-1,DAL758 ,delta seven fifty eight you on,651.21,652.25,
AR1-1,AAL230 ,american two thirty heavy turn right heading two seven zero,662.09,664.36,
AAL230,AR1-1 ,right two seven zero american two thirty heavy,664.65,666.93,
AR1-1,AAL230 ,american two thirty heavy turn right heading two nine zero,681.32,683.90,
AAL230,AR1-1 ,right two nine zero american two thirty,684.08,685.81,
DAL758,AR1-1 ,approach delta seven fifty eight descending through seven thousand for six thousand,696.75,701.06,
AR1-1,DAL758 ,delta seven fifty eight regional approach roger,702.15,703.84,
AR1-1,AAL230 ,american two thirty heavy turn right heading of ah three two zero and you're ah two miles from tuffo cross tuffo at four thousand maintain one eight zero knots to the marker cleared i l s three five right approach,704.55,714.07,
AAL230,AR1-1 ,ah roger american ah two thirty heavy cleared for the approach,715.73,719.01,
AR1-1,AAL858 ,american eight fifty eight turn right heading two five zero,719.26,721.36,
AAL858,AR1-1 ,right to two five zero american eight fifty eight,721.69,723.62,
AR1-1,DAL758 ,delta seven fifty eight you at a hundred and ninety knots,724.44,726.24,
DAL758,AR1-1 ,no sir we're at a hundred and seventy assigned,726.99,729.26,
AR1-1,DAL758 ,hundred and seventy all right thank you,729.48,730.83,
AR1-1,DAL758 ,delta seven fifty eight descend and maintain five thousand traffic's at eleven o'clock three miles turning westbound out of forty seven descending is a company er correction an american seven twenty seven,732.36,740.09,
DAL758,AR1-1 ,ah we're going down to five thousand and down below the clouds delta seven fifty eight,740.57,745.11,
AR1-1,AAL230 ,american two thirty heavy contact tower one two six point five five speed one eighty to the marker good day,745.29,749.33,
AAL230,AR1-1 ,twenty six fifty five for american two thirty heavy good day,749.91,752.30,
AR1-1,AAL230 ,good day,752.35,752.68,
AR1-1,AAL858 ,american eight fifty eight when you reach four thousand reduce speed to one eight zero and turn right heading two six zero,752.70,756.79,
AR1-1,DAL758 ,delta seven fifty eight traffic no factor you'll pass behind him descend and maintain four thousand,765.72,769.42,
DAL758,AR1-1 ,down to four thousand delta seven five eight,769.55,771.96,
AAL50,AR1-1 ,american fifty is checking in just about to level six,772.77,775.75,
AR1-1,AAL50 ,american fifty regional approach i l s runway three five right,775.83,778.29,
AAL50,AR1-1 ,i l s three five right american fifty,778.61,780.41,
AR1-1,DAL758 ,delta seven fifty eight turn right heading two three zero,790.72,792.82,
DAL758,AR1-1 ,right to two thirty delta seven fifty eight,793.74,795.60,
AR1-1,AAL858 ,american eight fifty eight turn right heading two nine zero,795.89,798.01,
AR1-1,AAL858 ,i'll i'll give you a little softer turn here in just a second,800.13,802.45,
