from,to,text,time_start,time_end,comment
DR1-1,DAL802 ,delta eight oh two regional departure radar contact climb and maintain one seven thousand,14.26,19.10,transmission to dr two aircraft
DR1-1,CAL1034 ,continental ten thirty four contact fort worth center on one three three point three,30.37,34.63,
CAL1034,DR1-1 ,thirty three three so long,35.31,36.77,
DR1-1,CAL734 ,good day,37.83,38.27,
AAL1286,DR1-1 ,departure this is american twelve eighty six with you ah we're out ah one point eight for ten,55.10,59.32,
DR1-1,AAL1286 ,american twelve eighty six regional departure radar contact,60.02,63.19,
AAL1286,DR1-1 ,roger american twelve eighty six,63.47,64.57,
DR1-1,DAL802 ,delta eight oh two fly heading of three five zero,65.77,68.83,transmission to dr two aircraft
DR1-1,AAL1286 ,american twelve eighty six turn right heading zero seven zero,115.29,118.17,
AAL1286,DR1-1 ,right zero seven zero american twelve eighty six,118.73,120.61,
DR1-1,DAL802 ,delta eight oh two fly heading zero one zero,152.65,154.91,transmission to dr two aircraft
DR1-1,DAL802 ,delta eight oh two contact fort worth center one three four point one five,179.96,184.49,transmission to dr two aircraft
DR1-1,DAL802 ,good day,187.09,187.55,
DR1-1,AAL1286 ,american twelve eighty six turn right to one zero zero join the d f w zero seven eight radial resume own navigation,190.95,196.41,
SWA34,DR1-1 ,departure good afternoon southwest thirty four one thousand five hundred for five thousand,247.88,252.06,
DR1-1,SWA34 ,southwest thirty four regional departure radar contact,253.16,257.20,
DR1-1,SWA34 ,southwest thirty four climb and maintain eight thousand fly runway heading,265.61,269.59,
SWA34,DR1-1 ,southwest thirty four eight thousand feet runway heading,270.31,273.31,
DR1-1,AAL1286 ,american twelve eighty six climb and maintain one seven thousand contact fort worth center one three two point eight five,279.35,285.33,
AAL1286,DR1-1 ,up to one zero thousand thirty two eighty five american twelve eighty six so long,285.86,288.92,
DR1-1,AAL1286 ,so long,290.28,290.96,
DR1-1,SWA34 ,southwest thirty four contact approach one two four point two five,301.00,305.24,
SWA34,DR1-1 ,okay twenty four twenty five southwest thirty four so long,306.93,309.45,
DR1-1,SWA34 ,good day,309.57,310.05,
SWA337,DR1-1 ,regional southwest three thirty seven with you passing ah nineteen hundred climbing to five thousand,382.98,387.01,
DR1-1,SWA337 ,southwest three thirty seven regional departure radar contact climb and maintain eight thousand expedite your climb leaving four thousand five hundred turn right heading zero six zero,387.47,396.87,
SWA337,DR1-1 ,okay up to eight thousand ah leaving four thousand five hundred right to zero six zero southwest three thirty seven,397.49,402.07,
DR1-1,SWA337 ,southwest three thirty seven start your right turn now heading zero ah niner zero and join the d f w zero six seven radial,434.65,440.29,
SWA337,DR1-1 ,zero nine zero for the d f w zero six seven southwest three thirty seven,440.57,443.59,
DR1-1,SWA337 ,southwest three thirty seven climb and maintain one seven thousand,460.46,463.84,
SWA337,DR1-1 ,okay one seven thousand southwest three thirty seven,464.20,466.38,
SWA37,DR1-1 ,departure southwest thirty seven one point five for five thousand,499.70,503.10,
DR1-1,SWA37 ,southwest thirty seven regional departure radar contact climb and maintain eight thousand expedite your climb leaving four thousand five hundred turn right heading zero niner zero,503.32,510.85,
SWA37,DR1-1 ,out of four thousand five hundred heading zero niner zero we're cleared to eight thousand southwest thirty seven,512.25,517.15,
USA1127,DR1-1 ,departure u s air eleven twenty seven is with you,538.52,540.54,
DR1-1,USA1127 ,i missed the call,543.40,544.80,
USA1127,DR1-1 ,usa1127-dr1-1 u s air eleven twenty seven is with you we're out of twenty five hundred for ten,545.24,548.84,
DR1-1,USA1127 ,usa1127 u s air eleven twenty seven regional departure radar contact,549.05,551.81,
DR1-1,SWA37 ,southwest thirty seven turn right heading one two zero climb and maintain one seven thousand,572.18,577.66,
SWA37,DR1-1 ,heading one two zero cleared to one seven thousand southwest thirty seven,578.62,582.14,
DR1-1,USA1127 ,usa1127 u s air eleven twenty seven turn right heading zero eight zero,589.04,592.07,
USA1127,DR1-1 ,ah right to zero u s air eleven twenty seven,592.59,595.69,
DR1-1,SWA37 ,southwest thirty seven turn right heading one seven zero,624.78,628.18,
SWA37,DR1-1 ,right heading one seven zero southwest thirty seven,628.60,631.25,
DR1-1,SWA337 ,southwest three thirty seven three thirty seven contact fort worth center one three two point eight five,634.93,639.75,
SWA337,DR1-1 ,thirty two eighty five southwest three thirty seven so long,640.25,642.41,
USA1127,DR1-1 ,ah zero seven eight radial on a hundred degree heading u s air eleven seven eleven twenty seven,649.21,654.62,
DR1-1,SPADE04 ,spade zero four regional departure roger radar contact say altitude leaving,658.02,663.36,military aircraft on uhf
DR1-1,SPADE04 ,spade zero four roger,670.73,672.65,
N58E,DR1-1 ,departure lear five five eight echo is with you out of ah seventeen hundred going to ah four thousand runway heading,696.26,701.84,
DR1-1,N58E ,lear five five eight echo regional departure radar contact,703.28,707.72,
DR1-1,N58E ,lear five five eight echo ah climb and maintain one zero thousand leaving four thousand five hundred turn right heading of one eight zero,715.33,724.09,
N58E,DR1-1 ,okay climb to one zero thousand out of forty five right turn to one eight zero five five eight echo,725.21,729.63,
DR1-1,SPADE04 ,spade zero four maintain four thousand for traffic,730.61,733.40,military aircraft on uhf
DR1-1,SWA37 ,southwest thirty seven contact fort worth center one three three point three,744.86,748.18,
USA1127,DR1-1 ,u s air eleven twenty seven level ten,756.21,758.25,
DR1-1,USA1127 ,u s air eleven twenty seven climb and maintain one seven thousand contact fort worth center on three two point eight five,758.49,765.11,
USA1127,DR1-1 ,thirty two eighty five and one seven thousand eleven twenty seven good day,765.51,769.33,
DR1-1,SPADE04 ,spade zero four climb and maintain one ah zero thousand,770.69,775.12,military aircraft on uhf
DR1-1,SPADE04 ,spade zero four turn left heading three three zero contact ah approach on one correction,786.78,792.51,
DR1-1,SPADE04 ,spade zero four contact approach two two seven point eight two two seven point eight,806.71,811.47,military aircraft on uhf
DR1-1,N58E ,lear five eight echo climb and maintain one seven thousand,824.80,829.20,
N58E,DR1-1 ,one seven thousand hundred and one hundred and eighty degree heading five five eight echo,829.44,832.77,
SWA39,DR1-1 ,departure southwest thirty nine ah one thousand seven hundred for five thousand,913.75,918.17,
DR1-1,SWA39 ,southwest thirty nine regional departure radar contact climb and maintain ah eight thousand leaving four thousand five hundred turn right to one two zero,923.57,932.75,
SWA39,DR1-1 ,out of four thousand five hundred right to ah one two zero and cleared to eight thousand southwest ah thirty nine,933.76,941.84,
DR1-1,N58E ,lear five eight echo contact fort worth center on one three three point three fly heading one seven zero,942.15,946.98,
N58E,DR1-1 ,thirty three three one seven zero so long,947.40,949.34,
DR1-1,N58E ,good night,949.50,949.98,
NWA1150,DR1-1 ,northwest eleven fifty two point five for ten,950.22,952.57,
DR1-1,NWA1150 ,northwest eleven fifty regional departure radar contact,952.95,956.15,
DR1-1,UNK ,who else calling,958.04,959.22,
DR1-1,SWA39 ,southwest ah thirty nine climb maintain one seven thousand turn right to one two zero,994.25,998.82,
SWA39,DR1-1 ,cleared to one seven thousand and ah right to one two zero southwest ah thirty nine,999.98,1004.59,
DR1-1,NWA1150 ,northwest eleven fifty turn right heading zero nine zero join the d f w zero six seven radial,1005.05,1009.59,
NWA1150,DR1-1 ,zero nine zero to join the zero six seven northwest eleven fifty,1009.85,1013.06,
SWA192,DR1-1 ,southwest one ninety two is with you out of twenty one hundred,1014.48,1016.78,
DR1-1,SWA192 ,southwest one ninety two regional departure radar contact fly runway heading climb and maintain one zero thousand,1017.24,1024.80,
SWA192,DR1-1 ,one zero thousand runway heading southwest one ninety two,1025.12,1027.70,
DR1-1,AAL520 ,american five twenty regional departure radar contact,1036.11,1039.00,transmission to dr two aircraft
DR1-1,SWA39 ,southwest thirty nine turn right heading one seven zero,1047.01,1049.77,
SWA39,DR1-1 ,right to one seven zero heading southwest thirty nine,1051.37,1054.00,
DR1-1,SWA192 ,southwest one ninety two turn ten degrees to your right expedite your climb through ah one zero thousand,1063.29,1068.42,
SWA192,DR1-1 ,okay ten to the right and ah we'll expedite the climb southwest one ninety two,1069.52,1073.63,
DR1-1,AAL520 ,american five twenty turn right heading zero two zero,1075.57,1078.90,transmission to dr two aircraft
AAL597,DR1-1 ,departure american five ninety seven with you out of two climbing to one zero thousand,1090.49,1093.84,
DR1-1,AAL597 ,american five ninety seven regional departure radar contact,1094.56,1098.69,
DR1-1,SWA39 ,southwest thirty nine contact fort worth center one three three point three,1099.65,1103.27,
SWA39,DR1-1 ,have a good day southwest thirty nine,1103.55,1104.98,
DR1-1,SWA39 ,good day,1105.24,1105.88,
NWA1150,DR1-1 ,northwest eleven fifty is level one zero thousand,1114.71,1116.93,
DR1-1,NWA1150 ,northwest eleven fifty traffic ten o'clock and niner miles southwest bound at one one thousand i'll get you higher in about five miles,1117.41,1125.03,
NWA1150,DR1-1 ,okay,1125.49,1126.13,
DR1-1,AAL597 ,american five ninety seven ah maintain eight thousand for traffic,1133.82,1137.86,
