from,to,text,time_start,time_end,comment
AAL586,FE-1 ,and american five eighty six is with you at ah eleven,4.69,7.80,
FE-1,AAL586 ,calling approach say again,8.96,9.92,
AAL586,FE-1,american five eighty six turning to one three zero and ah and level at eleven,10.16,14.31,
FE-1,AAL586 ,american five eighty six regional approach ah roger expect the i l s three five right,14.70,18.56,
AAL586,FE-1 ,i l s three five right american five eighty six,18.90,21.02,
DAL758,FE-1 ,approach delta seven fifty eight descending through fifteen six for one one thousand hotel,21.26,24.69,
FE-1,AAL565 ,american three sixty five heavy amend your instructions on a two eight zero heading join the runway three one right localizer expect the i l s approach,33.02,39.21,controller apparently misstates aircraft flight id; corrected in next transmission--jjg
FE-1,AAL565 ,correction american five sixty five heavy amend your instructions fly heading two eight zero join the localizer three one right,40.59,46.84,
AAL565,FE-1 ,okay we'll join the localizer for three one right off of ah this heading of two eight zero american five sixty five heavy,47.38,54.15,weak transmission
FE-1,AAL565 ,american five sixty five heavy good rate of descent to five thousand,54.30,56.96,
AAL564,FE-1 ,okay we're out of eleven for five now american five sixty five heavy,58.22,62.25,
FE-1,DAL758 ,delta seven fifty eight i understand that you checked in and now leaving fourteen five for one one thousand information hotel is current depart hamak heading one eight zero for i l s three five right,62.51,70.52,
DAL758,FE-1 ,delta seven fifty eight,70.93,71.96,
FE-1,AAL586 ,american five eighty six descend and maintain six thousand,78.15,80.68,
AAL586,FE-1 ,down to six thousand american five eighty six,81.28,83.36,
FE-1,CAL531 ,continental five thirty one ah regional approach good afternoon depart ports heading two eight zero expect the i l s three five right,90.39,95.87,
FE-1,CAL531 ,continental five thirty one good rate of descent to five thousand,146.29,149.04,
CAL531,FE-1 ,good rate of descent we're out of eleven for five continental five thirty one,150.17,154.20,
FE-1,MTR886 ,metro eight eight six descend and maintain five thousand,161.16,163.54,
FE-1,MTR886 ,metro eight eight six depart ah depart weder heading heading of two zero zero expect the i l s three five right correction three one right,169.33,178.63,
MTR886,FE-1 ,weder two zero zero down to five thousand metro eight eighty six ,179.57,183.32,weak transmission
FE-1,N7SB ,november three seven sierra bravo regional approach roger,189.17,191.70,
FE-1,AAL565 ,american ah five sixty five heavy contact approach one two five point two,194.23,197.74,
AAL565,FE-1 ,twenty five two american five sixty five heavy ,198.26,201.58,weak transmission
FE-1,DAL758 ,delta seven fifty eight reduce speed to two three zero,222.13,224.85,
DAL758,FE-1 ,slowing delta seven fifty eight,225.73,227.12,
AAL230,FE-1 ,and american two thirty ah heavy at eleven out of arena,229.24,232.52,
FE-1,AAL236 ,american two thirty heavy regional approach expect the i l s three five right,232.76,235.44,
AAL230,FE-1 ,i l s three five right,235.91,237.15,
FE-1,MTR886 ,metro eight eighty six contact approach on one two five point two,237.39,240.41,
MTR886,FE-1 ,twenty five two,240.84,242.23,
FE-1,AAL586,american ah five eighty six turn right one seven zero contact approach one one niner point four,260.85,265.20,
AAL586,FE-1 ,one seventy and ah nineteen four see you,265.48,268.03,
FE-1,AAL586 ,good day,268.14,268.76,
FE-1,AAL230 ,american two thirty heavy descend and maintain six thousand,285.30,288.09,
AAL230,FE-1 ,american two thirty heavy down to six,288.54,291.28,
FE-1,DAL758 ,delta seven fifty eight traffic twelve o'clock five miles eastbound out of ninety five hundred climbing to one zero thousand,317.89,322.80,
DAL758,FE-1 ,seven fifty eight looking in sight,322.82,324.81,
FE-1,CAL531 ,continental five thirty one contact approach one one niner point four,327.04,329.74,
CAL531,FE-1 ,nineteen four you have a nice day five thirty one ,329.94,332.74,weak transmission
FE-1,CAL531 ,good day sir,332.89,333.64,
AAL858,FE-1 ,american eight fifty eight eleven thousand,335.12,336.66,
FE-1,AAL1158 ,american eight fifty eight regional approach roger expect the i l s three five right,336.81,340.05,
AAL858,FE-1 ,roger,340.46,340.95,
FE-1,DAL758 ,delta seven fifty eight reduce speed two one zero,343.84,346.09,
FE-1,AAL858 ,american eight fifty eight ah descend and maintain six thousand maintain speed two three zero if able,385.59,390.17,
AAL858,FE-1 ,two hundred and thirty knots and down to six thousand american eight fifty eight,390.75,393.32,
FE-1,N7SB ,november seven sierra bravo descend and maintain four thousand contact approach one two five point two,396.58,400.54,
N7SB,FE-1 ,twenty five two and down to four sierra bravo ,400.93,403.84,weak transmission
FE-1,AAL603 ,ah was that american six oh three checking in,423.00,425.10,
AAL603,FE-1 ,yes sir with hotel ,425.27,426.75,weak transmission
FE-1,AAL603 ,american six zero three regional approach depart ports heading two eight zero join the localizer three one right,427.37,431.55,
FE-1,AAL603 ,american six zero three expect the i l s approach,435.94,437.85,
AAL603,FE-1 ,roger,438.84,439.41,
FE-1,AAL230 ,ah american two thirty heavy turn right heading one seven zero contact approach one one niner point four,447.13,451.37,
AAL230,FE-1 ,nineteen four heading one seventy zero american ah two thirty heavy,452.31,456.43,
FE-1,DAL758 ,delta seven fifty eight reduce speed to one niner zero,457.95,460.50,
DAL758,FE-1 ,slowing delta seven fifty eight ,460.61,461.96,weak transmission
AAL50,FE-1 ,regional approach american fifty is with you one one thousand,470.76,473.55,
FE-1,AAL50 ,american fifty regional approach roger expect the i l s three five right,474.58,477.41,
AAL50,FE-1 ,thank you american fifty,478.33,479.89,
FE-1,AAL603 ,american six zero three descend and maintain five thousand contact approach one two five point two,486.49,490.16,
AAL603,FE-1 ,who was that for ,492.62,493.31,weak transmission
FE-1,AAL603 ,american six zero three descend and maintain five thousand contact approach one two five point two,493.50,498.28,
AAL603,FE-1 ,down to five thousand twenty five two american six zero three ,498.62,501.36,weak transmission
FE-1,AAL858 ,american eight fifty eight turn right heading one five zero,501.66,504.13,
AAL858,FE-1 ,right to one five zero american eight fifty eight,504.51,506.59,
FE-1,DAL758 ,delta seven fifty eight ah descend and maintain eight thousand,507.13,510.60,
DAL758,FE-1 ,delta seven fifty eight eight thousand,511.50,513.06,
FE-1,EX108 ,exec jet one zero eight regional approach roger ah,517.39,519.31,
FE-1,AAL50 ,american fifty descend and maintain six thousand,530.08,532.31,
AAL50,FE-1 ,out of eleven for six american fifty,533.10,535.06,
