from,to,text,time_start,time_end,comment
SWA926,FW-1 ,regional approach southwest nine twenty-six twelve point seven descending to cross boids at one one thousand we have lima information,2.01,7.84,
FW-1,SWA926 ,uh southwest nine twenty-six regional approach depart arina heading one three zero i need you to comply with the speed theres traffic five ahead be on the arrival also landing at love,12.66,20.12,
SWA926,FW-1 ,o k we'll do that and depart arina heading one three zero southwest nine two six,20.50,24.77,
UAL450,FW-1 ,regional approach united four fifty one four thousand for one one thousand information kilo,128.54,132.77,
FW-1,UAL450 ,united four fifty regional approach roger,132.99,136.14,
DAL1067,FW-1 ,regional approach delta ten sixty-seven descending to nine thousand feet with uh juliet,139.93,144.77,
FW-1,DAL1067 ,delta ten sixty-seven regional approach depart bryar heading zero six zero,144.90,148.50,
DAL1067,FW-1 ,depart bryar zero six zero ten sixty-seven,149.41,152.46,
FW-1,SWIFT61 ,swift61 swift six one regional approach uh roger fly heading zero four zero vector to carswell and uh tango's current at carswell measured ceiling three thousand eight hundred broken four thousand five hundred overcast visibility six fog wind three five zero at five altimeter three zero three six,166.82,182.67,
FW-1,N8TT ,citation eight tango tango heading one three zero descend and maintain seven thousand,204.83,208.93,
N8TT,FW-1 ,out of eleven for seven eight tango tango,209.07,211.56,
FW-1,N8TT ,citation eight tango tango contact approach one one niner point zero five,246.68,250.90,
N8TT,FW-1 ,one nineteen zero five eight tango tango,251.16,253.29,
DAL1244,FW-1 ,approach delta twelve forty-four heavy's out of uh one five thousand descending to one one thousand with juliet,259.13,264.33,
FW-1,DAL1244 ,delta twelve forty-four heavy regional approach roger,264.62,267.37,
DAL1244,FW-1 ,need the speed over pivet for delta twelve forty-four heavy,268.98,271.87,
FW-1,DAL1244 ,uh delta twelve forty-four heavy affirmative,271.93,273.86,
FW-1,DAL1067 ,delta ten sixty-seven descend and maintain five thousand,277.11,279.92,
DAL1067,FW-1 ,five thousand delta ten sixty-seven,280.65,283.10,
FW-1,SWIFT61 ,swift61 swift six one descend and maintain five thousand contact approach one one eight point one you can make your approach request with them,283.22,289.15,
SWIFT61,FW-1 ,one eighteen one out of seven for five thousand swift six one,290.39,293.16,
