from,to,text,time_start,time_end,comment
GCE-1,UNK,taxiway thirty one,2.04,2.82,
UNK,UNK,roger,3.64,4.04,
GCE-1,DAL199,delta one ninety nine heavy turn left on the inner taxiway to the ramp,4.47,7.36,
DAL199,GCE-1,on the inner going to the north ramp delta one ninety nine,7.73,10.04,
GCE-1,AAL1406,who's the american super eighty taxiway twenty one,10.44,12.37,
AAL1406,GCE-1,that's american fourteen zero six going in to taxiway two six,12.72,15.28,
GCE-1,AAL1406,american fourteen zero six taxi via the inner taxiway to the ramp give away to lufthansa at taxiway twenty three,15.94,20.12,
AAL1406,GCE-1,american fourteen zero six,20.73,21.67,
DLH494,GCE-1,lufthansa four ninety four vacating,22.32,24.46,
GCE-1,DLH494,lufthansa four ninety four heavy ground good afternoon taxi to the ramp,25.13,27.58,
DLH494,GCE-1,to the ramp,28.09,28.49,
AAL1274,GCE-1,and american twelve seventy four on the eighteen bridge twenty one,29.25,31.81,
GCE-1,AAL1274,american twelve seventy four via the inner taxiway to the ramp,32.14,34.35,
AAL1274,GCE-1,inner to the ramp american twelve seventy four,34.73,36.35,
GCE-1,AAL684,american six eighty four thank you via the inner taxiway to the ramp,41.04,43.51,
AAL684,GCE-1,american six eighty four,44.42,45.33,
AAL1406,GCE-1,american fourteen oh six is holding for lufthansa,72.52,74.42,
GCE-1,AAL1406,yes sir lufthansa you can go straight in to the ramp that traffic's holding on you,77.98,80.30,
GCE-1,AAL1406,can they take you in the ramp now,81.57,82.54,
AAL1132,GCE-1,ground american eleven thirty two heavy on the eighteen bridge going in to twenty four north,85.92,89.88,
AAL1132,GCE-1,via the inner american eleven thirty two heavy,96.19,98.04,
GCE-1,AAL1406,american fourteen oh six i think ramp tower stopped him there for traffic on the ramp crossing left to right,118.54,122.99,
AAL1406,GCE-1,o k,123.65,124.04,
AAL550,GCE-1,ground american five fifty's the eighteen bridge ah for twenty five,128.19,131.55,
GCE-1,AAL550,american five fifty ground taxi via the inner taxiway to the ramp,131.91,134.47,
AAL550,GCE-1,inner to the ramp american five fifty,135.88,137.27,
GCE-1,COA1226,continental twelve twenty six taxi north on the outer left turn at taxiway twenty for the ramp,256.71,260.77,
COA1226,GCE-1,at twenty on the outer o k,261.65,262.73,
GCE-1,COA1226,o k at twenty seven taxi to the ramp,266.24,268.16,
ASA972,GCE-1,asea nine seventy two at twenty three,271.38,273.35,
