from,to,text,time_start,time_end,comment
USA272,GCW-1,and ground u s air two seventy two taxi,3.67,6.22,
GCW-1,USA272,u s air two seventy two taxi to one seven right taxi north on golf hold short of taxiway nineteen,6.41,11.93,
USA272,GCW-1,north on golf hold short of nineteen for one seven right u s air two seventy two,17.47,18.52,
DAL691,GCW-1,ground delta six ninety one to cross the left side and ah go in twenty nine,25.00,29.38,
GCW-1,DAL691,delta six ninety one turn right on the outer taxiway hold short of thirty one,30.84,34.14,
DAL691,GCW-1,turn right on the outer and ah hold short of thirty one delta six ninety one,35.28,37.85,
GCW-1,AAL389,american three eighty nine heavy regional ground is your gate open do you know,42.37,45.45,
AAL389,GCW-1,affirm,45.72,46.11,
GCW-1,AAL389,american three eighty nine heavy you can turn right at hotel follow the second company the seven two off your right across the thirty two bridge and ground point six five on the bridge,46.62,54.76,
GCW-1,AAL809,american m d eighty on thirty two straight ahead and ground point six five on the bridge,57.44,60.91,
AAL809,GCW-1,thank you american eight 0h nine,61.13,62.26,
GCW-1,AAL567,american boeing seven two follow the m d eighty straight ahead ground point six five on the bridge,62.45,67.07,
AAL567,GCW-1,american seven ah five sixty seven thanks,67.41,69.93,
GCW-1,DAL691,thank you and delta six ninety one you can turn left on thirty two give way to the ah d c ten he'll join thirty two at ah the hotel intersection you can contact ground point six five on the bridge,70.52,80.68,
DAL691,GCW-1,delta six ninety one wilco,81.61,82.77,
ASA419,GCW-1,and ground asea four nineteen nineteen bridge,94.77,96.77,
GCW-1,ASA419,asea four nineteen regional ground pass behind the u s air seven thirty seven then nineteen to the center of the pad runway eighteen left,97.01,103.93,
ASA419,GCW-1,behind the seven thirty seven nineteen to center of the pad asea four nineteen,104.85,107.87,
GCW-1,USA272,u s air two seventy two behind that american boeing turn right on taxiway eighteen and contact ground point six five on the bridge,108.19,114.43,
USA272,GCW-1,okay right on eighteen u s air two seventy two,115.14,118.22,
DAL139,GCW-1,ground delta one thirty nine with you clearing ah eighteen left,189.78,192.55,
GCW-1,DAL139,delta one thirty nine you the seven five aren't you,193.62,196.73,
