from,to,text,time_start,time_end,comment
CAL1226,LCE-1,d f w tower continental ah twelve twenty six showing about seven out for er three five right,15.17,19.73,
LCE-1,DAL1410,delta fourteen ten fly heading three six zero runway three five left cleared for takeoff and that'll be at the middle marker,20.05,24.47,
DAL1410,LCE-1,cleared for takeoff three six zero at the middle marker delta fourteen ten,25.00,28.28,
LCE-1,DAL306,delta three oh six regional tower runway three five left taxi into position and hold,28.61,31.71,
DAL306,LCE-1,position and hold delta three oh six,32.07,33.47,
LCE-1,CAL1226,continental twelve twenty six regional tower wind three four zero at eight cleared to land runway three five right,33.87,37.98,
CAL1226,LCE-1,cleared to land twelve twenty six,38.32,39.41,
LCE-1,ASA972,asea nine seventy two hold short of runway three five right traffic short final,40.05,43.25,
ASA972,LCE-1,asea nine seventy two hold short,43.25,44.59,
LCE-1,DAL306,delta three oh six middle marker fly heading three six zero runway three five left cleared for takeoff,63.32,67.09,
DAL306,LCE-1,cleared to go three five left ah middle marker three six zero delta three oh six,67.51,71.95,
LCE-1,ASA972,asea nine seventy two cross runway three five right and then turn left on lima and i'll advise where to hold short of three five left,72.68,77.90,
ASA972,LCE-1,okay cleared to cross the left side and we'll go ah right side rather go down lima,78.65,81.87,
LCE-1,DAL1410,delta fourteen ten contact departure good day,84.19,86.12,
DAL1410,LCE-1,delta fourteen ten good day,86.85,88.64,
LCE-1,AAL912,american nine twelve regional tower runway three five left taxi in position and hold,88.82,91.83,
AAL912,LCE-1,position and hold american nine twelve,92.23,93.77,
LCE-1,DAL1001,delta ten oh one hold short of runway three five left remain this frequency,94.16,96.87,
DAL1001,LCE-1,ten oh one hold short of three five left,97.28,98.69,
DAL394,LCE-1,delta three ninety four is nine and a half out for ah three five right,107.46,110.87,
LCE-1,DAL394,delta three ninety four regional tower following traffic on a three mile final wind three four zero at one zero cleared to land runway ah three five right,111.58,118.72,
DAL394,LCE-1,three ninety four roger,119.12,120.12,
LCE-1,AAL912,american nine twelve middle marker fly heading three six zero runway three five left cleared for takeoff,123.15,126.83,
AAL912,LCE-1,cleared for takeoff three sixty at the middle marker american nine twelve,127.31,130.07,
LCE-1,DAL1040,delta ten forty regional tower runway three five left taxi into position and hold,130.40,133.57,
DAL1040,LCE-1,delta ten forty into position and hold,134.00,136.53,
LCE-1,DAL306,delta three oh six contact departure good day,136.97,138.82,
DAL306,LCE-1,good day,139.02,139.51,
LCE-1,ASA972,asea nine seventy two make your right turn at twenty three but hold short,143.24,145.96,
ASA972,LCE-1,right turn at twenty three and hold short asea nine seventy two,146.62,148.61,
LCE-1,DAL1040,delta ten forty middle marker fly heading three six zero runway three five left cleared for takeoff,177.27,180.77,
DAL1040,LCE-1,delta ten forty we got three six zero we're on the roll,182.35,184.51,
LCE-1,DAL335,delta three thirty five regional tower runway three five left taxi into position and hold traffic is going to cross downfield,185.89,189.80,
DAL335,LCE-1,delta three thirty into position and hold,190.14,192.58,
LCE-1,AAL912,american nine twelve contact departure good day,192.91,194.71,
AAL912,LCE-1,american nine twelve so long,195.67,197.92,
LCE-1,DAL1001,delta ten oh one cross runway three five left contact ground point six five when off,221.42,224.71,
DAL1001,LCE-1,cross ah three five left point six five delta ten oh one,225.24,227.64,
LCE-1,ASA972,asea nine seventy two cross three five left contact ground point six five when off,227.99,230.82,
ASA972,LCE-1,cross the left side sixty asea nine seventy two,230.96,233.03,
LCE-1,CAL1226,continental twelve twenty six cross runway three five left no delay behind the brazilia contact ground point six five when off,233.40,237.84,
CAL1226,LCE-1,okay and ah cleared to cross right,239.12,240.69,
LCE-1,CAL1226,that is correct expedite please,241.26,242.65,
LCE-1,DAL1040,delta ten forty contact departure so long,242.77,244.56,
DAL1040,LCE-1,ten forty so long,244.94,245.67,
DAL946,LCE-1,delta nine forty six nine out,248.12,249.95,
LCE-1,DAL946,delta nine forty six regional tower following traffic three mile final wind three five zero at eight cleared to land runway three five right,250.33,255.81,
DAL946,LCE-1,three five right delta nine forty six,256.15,258.00,
DAL455,LCE-1,delta four fifty five is with you ah six south of dayzz,260.88,264.53,
LCE-1,DAL335,delta three thirty five middle marker fly heading three six zero runway three five left cleared for takeoff,265.85,269.63,
DAL335,LCE-1,delta three thirty five three sixty at the marker cleared for takeoff,269.78,272.73,
LCE-1,AAL1089,american ten eighty six regional tower runway three five left taxi into position and hold,273.12,276.32,
AAL1089,LCE-1,three five left position and hold american ten eighty six,277.02,278.90,
LCE-1,DAL455,delta four fifty five regional tower following traffic seven mile final wind three four zero at eight cleared to land runway three five right,279.16,284.25,
DAL455,LCE-1,cleared to land three five right delta four fifty five,284.62,287.13,
LCE-1,AAL1086,american ten eighty six middle marker fly heading three six zero runway three five left cleared for takeoff,318.70,322.77,
AAL1086,LCE-1,middle marker three six zero cleared for takeoff american ten eighty six,323.50,326.15,
LCE-1,AAL504,american five zero four regional tower runway three five left taxi into position and hold,326.46,329.44,
AAL504,LCE-1,three five left and hold for american five zero four,330.00,332.15,
LCE-1,DAL335,delta three thirty five contact departure good day,332.65,334.61,
DAL335,LCE-1,three thirty five departure,334.84,336.02,
LCE-1,AAL504,american five zero four middle marker fly heading three six zero runway three five left cleared for takeoff,370.32,374.07,
AAL504,LCE-1,five zero four is cleared for takeoff at the middle marker three six zero,374.46,377.44,
LCE-1,AAL652,american six five two regional tower runway three five left taxi into position and hold,378.01,381.39,
AAL652,LCE-1,position and hold three five left american six fifty two,382.33,384.65,
LCE-1,DAL394,delta three ninety four hold short of runway three five left remain this frequency,384.99,388.17,
DAL394,LCE-1,delta three ninety four wilco,388.51,389.82,
LCE-1,AAL1086,american ten eighty six contact departure good day,390.39,392.50,
AAL1086,LCE-1,good day ten eighty six,392.65,393.58,
LCE-1,AAL652,american six fifty two at middle marker fly heading three six zero runway three five left cleared for takeoff,424.12,428.08,
AAL652,LCE-1,cleared to go three five left american six fifty two,428.97,430.94,
LCE-1,AAL504,american five zero four contact departure so long,432.12,434.41,
AAL504,LCE-1,five zero four,434.74,435.62,
LCE-1,DAL394,delta three ninety four cross three five left contact ground point six five when off,469.75,472.64,
DAL394,LCE-1,delta three ninety four roger,473.31,474.45,
LCE-1,DAL946,delta nine forty six if able turn left at that first high speed and cross three five left contact ground point six five when off,475.32,479.86,
DAL946,LCE-1,delta nine forty six we'll get it and we'll cross,480.50,482.97,
LCE-1,AAL652,american six fifty two contact departure so long,483.57,485.90,
AAL652,LCE-1,six fifty two,486.57,487.28,
DAL1019,LCE-1,tower delta ten nineteen is on the i l s three five left ah right,525.88,529.54,
LCE-1,DAL1019,delta ten nineteen regional tower wind three five zero one one cleared to land runway three five right,530.34,534.53,
DAL1019,LCE-1,delta ten nineteen cleared to land three five right,535.43,537.23,
DAL1285,LCE-1,tower delta twelve eighty five i l s three one right,540.26,543.17,
LCE-1,DAL1285,delta twelve eighty five regional tower wind three four zero at one zero cleared to land runway three one right,543.35,547.96,
DAL1285,LCE-1,delta twelve eighty five cleared to land three one right,548.62,550.96,
LCE-1,DAL455,delta four fifty five cross runway three five left contact ground point six five when off,578.68,582.19,
DAL455,LCE-1,cleared to cross delta four fifty five,584.07,585.82,
DAL819,LCE-1,tower delta eight nineteen we're about nine and a half out thirty five right,622.96,627.48,
LCE-1,DAL819,delta eight nineteen regional tower traffic at the marker wind three four niner cleared to land runway three five right,628.80,633.53,
DAL819,LCE-1,delta eight nineteen cleared to land thirty five right,634.21,636.30,
DAL1045,LCE-1,tower delta ten forty five checking in we're ten out,691.00,693.03,
LCE-1,DAL1045,delta ten forty five regional tower traffic six mile final wind three four zero at niner cleared to land runway three five right,693.53,698.58,
DAL1045,LCE-1,cleared to land delta ten forty five,699.01,700.30,
DAL1045,LCE-1,and tower delta ten forty you did say cleared to land,790.71,792.47,
LCE-1,DAL1045,affirmative,792.94,793.71,
DAL1045,LCE-1,thank you,793.97,794.35,
LCE-1,DAL1019,delta ten nineteen cross runway three five left contact ground point six five when off,800.42,804.13,
DAL1019,LCE-1,delta ten nineteen cleared to cross three five left,804.91,806.92,
DAL711,LCE-1,tower delta seven eleven is approaching mandy,840.90,843.08,
LCE-1,DAL711,delta seven eleven regional tower wind three four zero at niner cleared to land runway three one right,844.51,849.23,
DAL711,LCE-1,cleared to land three one right delta seven eleven,850.04,852.00,
LCE-1,DAL1285,delta twelve eighty five cross runway three five right and three five left no delay traffic two mile final contact ground point six five when off both runways,888.91,895.19,
DAL1285,LCE-1,delta twelve eighty five cleared to cross three five right and left,895.60,899.03,
LCE-1,DAL819,delta eight nineteen cross three five left contact ground point six five when off,905.86,908.61,
DAL819,LCE-1,delta eight nineteen cross three five left,909.84,912.50,
DAL265,LCE-1,regional tower delta two sixty five is nine and a half miles out for three five right,945.65,949.38,
LCE-1,DAL265,delta two sixty five regional tower wind three four zero at seven cleared to land runway three five right,949.90,953.87,
DAL265,LCE-1,cleared to land on the right,954.31,955.18,
DAL887,LCE-1,delta eight eight seven mandy inbound,958.09,959.87,
LCE-1,DAL887,delta eight eighty seven regional tower traffic two mile final wind three four zero at seven cleared to land runway three one right,960.16,965.09,
DAL887,LCE-1,cleared to land roger the traffic three one right,965.61,967.69,
LCE-1,DAL1045,delta ten forty five cross three five left contact ground point six five when off,990.07,993.18,
DAL1045,LCE-1,cross three five left delta ten forty five,994.03,996.32,
LCE-1,DAL711,delta seven eleven hold short of runway three five left remain this frequency,1063.07,1066.10,
DAL711,LCE-1,hold short delta ah seven eleven stay with you,1066.43,1068.92,
ASA466,LCE-1,tower asea four six six inbound i l s three one right,1081.85,1085.06,
LCE-1,ASA466,asea four six six regional tower traffic ah three and a half ahead caution wake turbulence on a boeing seven five seven wind three zero at seven cleared to land runway three one right,1085.56,1093.71,
ASA466,LCE-1,cleared to land asea four six six,1094.38,1096.03,
DAL309,LCE-1,delta three oh nine three five right,1099.17,1101.01,
LCE-1,DAL309,delta three oh nine regional tower traffic two mile final wind three three zero at eight cleared to land runway three five right,1101.79,1106.91,
ASA408,LCE-1,regional tower asea four zero eight i l s three one right,1155.35,1157.73,
LCE-1,ASA408,asea four zero eight regional tower following traffic three mile final wind three three zero at eight cleared to land runway three one right,1158.02,1162.85,
ASA408,LCE-1,cleared to land three one right asea four zero eight,1163.04,1164.72,
DAL327,LCE-1,tower delta three twenty seven we're ah ten miles out ah for three five right,1167.16,1171.78,
LCE-1,DAL327,delta three twenty seven regional tower following traffic on a ah seven mile final wind three three zero at eight cleared to land runway three five right,1172.91,1180.45,
DAL327,LCE-1,delta three twenty seven cleared to land,1180.98,1183.17,
DAL1115,LCE-1,delta eleven fifteen with you fourteen point nine out,1184.69,1186.90,
LCE-1,DAL711,delta seven eleven cross three five right and three five left contact ground point six five when off both runways,1187.12,1191.76,
DAL711,LCE-1,cross em both delta seven eleven,1192.20,1194.18,
LCE-1,DAL1115,delta eleven fifteen regional tower following traffic one zero mile final wind three three zero at eight cleared to land runway three five right,1194.56,1200.28,
DAL1115,LCE-1,cleared to land three five right delta eleven fifteen,1200.77,1202.24,
LCE-1,DAL265,delta two sixty five cross runway three five left contact ground point six five when off,1209.31,1212.83,
DAL265,LCE-1,two sixty five we'll cross,1213.23,1214.46,
DAL887,LCE-1,delta eight eight seven to follow,1221.21,1222.70,
LCE-1,DAL887,delta eight eighty seven cross three five right and three five left no delay to your taxi traffic on a four make that a four and a half mile final contact ground point six five when off both runways,1226.83,1234.39,
DAL887,LCE-1,roger,1234.82,1235.12,
DAL887,LCE-1,eight eighty seven crossing ah the left,1277.39,1279.38,
LCE-1,DAL887,that is correct,1279.69,1280.32,
LCE-1,ASA466,asea four six six hold short of runway three five right stay on this frequency,1292.19,1295.27,
ASA466,LCE-1,hold short of three five right,1295.60,1297.95,
DAL327,LCE-1,delta ah three twenty seven passing final approach fix ah for three five right,1324.03,1327.99,
LCE-1,DAL327,delta three twenty seven roger traffic short final wind three three zero at niner cleared to land runway three five right,1329.36,1333.80,
DAL327,LCE-1,delta three twenty seven cleared to land,1333.98,1335.39,
LCE-1,DAL1115,delta eleven fifteen reduce speed to one seven zero,1345.09,1347.37,
DAL1115,LCE-1,slow to one seventy eleven fifteen,1348.02,1349.43,
DAL1004,LCE-1,hello tower delta ten oh four ah passing mandy,1360.43,1363.78,
LCE-1,DAL1004,delta ten oh four regional tower following traffic one mile final wind three three zero niner cleared to land runway ah three one right,1365.31,1370.16,
