from,to,text,time_start,time_end,comment
TWA5004,LCW-1,okay ah d f w tower t w a fifty oh four is with you on the ah localizer for ah eighteen right,360.95,367.12,
LCW-1,TWA5004,t w a fifty ah correction five zero zero four regional tower runway one eight right cleared to land wind one seven zero at one three gust to two four,367.48,374.74,
TWA5004,LCW-1,cleared to land fifty oh four thank you,375.45,377.34,
LCW-1,MTR815,metro eight fifteen regional ground tower straight ahead advise ready,522.07,524.91,
MTR815,LCW-1,and metro nine fifteen er eight fifteen we'll be ready at the ah runway,536.84,540.92,
LCW-1,MTR815,metro eight fifteen regional tower runway one eight left cleared for takeoff,541.43,544.29,
MTR815,LCW-1,metro eight fifteen cleared for takeoff one eight left,545.80,547.66,
LCW-1,TWA5004,t w a five thousand four turn left hold short of one eight left remain this frequency,547.87,551.39,
TWA5004,LCW-1,hold short the left stay with you fifty oh four,551.80,553.74,
LCW-1,TWA5004,what was the bet,553.90,554.97,
TWA5004,LCW-1,say again,558.67,559.08,
LCW-1,TWA5004,what was the bet,559.36,560.69,
TWA5004,LCW-1,i lost,564.90,565.82,
LCW-1,TWA5004,ah we just figured you had a bet going with that landing there,566.00,568.33,
TWA5004,LCW-1,yeah we did and i lost,571.49,572.72,
LCW-1,TWA5004,oh okay,573.08,573.82,
TWA5004,LCW-1,can we go up the mid-field for a while,581.33,582.78,
TWA5004,LCW-1,thank you,587.07,587.66,
LCW-1,MTR815,metro eight fifteen contact departure,643.85,646.86,
MTR815,LCW-1,ah metro eight fifteen we'll see you,647.04,648.83,
LCW-1,TWA5004,t w a five thousand and four turn right at taxiway twenty one taxi across runway one eight left ground point eight when you're clear,708.03,714.03,
TWA5004,LCW-1,ah roger fifty oh four we'll cross at twenty one,719.55,722.74,
TWA5004,LCW-1,how about twenty three,732.57,733.59,
LCW-1,TWA5004,ah that's approved,733.77,734.66,
TWA5004,LCW-1,sorry thank you,735.02,735.92,
LCW-1,AAL461,american four sixty one advise ready,745.67,747.94,
LCW-1,AAL461,american four sixty one advise ready,762.96,764.73,
AAL461,LCW-1,we're ready four sixty one,765.16,766.33,
LCW-1,AAL461,american four sixty one at the middle marker fly heading one eight five cleared for takeoff runway one eight left,766.44,770.14,
AAL461,LCW-1,one eight five at the marker cleared for takeoff one eight left american four sixty one,770.67,773.71,
LCW-1,AAL1385,american thirteen eighty five advise ready,801.69,804.11,
AAL1385,LCW-1,yes sir we're ready to go,804.70,805.93,
LCW-1,AAL1385,american thirteen eighty five regional tower runway eighteen left taxi into position and hold,806.00,809.10,
AAL1385,LCW-1,position and hold one eight left american thirteen eighty five,809.79,811.56,
MTR820,LCW-1,regional tower metro's eight twenty with you for one three right,851.08,854.14,
LCW-1,MTR820,metro eight twenty regional tower cleared to land runway one three right,854.76,857.98,
MTR820,LCW-1,okay,859.09,859.69,
LCW-1,AAL1385,american thirteen eighty five at the middle marker fly heading one eight five cleared for takeoff runway one eight left,859.92,863.85,
AAL1385,LCW-1,one eighty five at the middle marker cleared for takeoff one eight left american thirteen eighty five,864.43,868.29,
LCW-1,AAL461,american four sixty one contact departure,871.35,873.56,
AAL461,LCW-1,american four sixty one good day,874.88,876.17,
LCW-1,MTR931,metro nine thirty one taxi across runway one left cleared for takeoff runway one eight right,878.90,883.00,
MTR931,LCW-1,taxi across cleared to go on the right side metro nine thirty one,883.65,886.71,
LCW-1,AAL1067,american ten sixty seven advise ready,898.32,900.35,
AAL1067,LCW-1,ten sixty seven's ready,901.00,902.07,
LCW-1,AAL1067,american ten sixty seven runway one eight left taxi into position and hold,902.18,904.84,
AAL1067,LCW-1,position and hold on ah one eight left american ten sixty seven,905.57,908.25,
LCW-1,LCW-1,ah one seven zero at one five,912.85,914.55,
LCW-1,AAL1067,american ten sixty seven traffic's departing one eight right at the middle marker fly heading one eight five cleared for takeoff one eight left,924.80,930.24,
AAL1067,LCW-1,one eighty five at the middle marker cleared to go one eight left american ten sixty seven,931.83,935.25,
LCW-1,AAL1385,american thirteen eighty five contact departure,935.43,938.02,
AAL1385,LCW-1,roger good day,938.13,939.15,
LCW-1,TWA550,t w a five fifty tower,964.32,965.77,
TWA550,LCW-1,five fifty,967.71,968.36,
LCW-1,TWA550,t w a five fifty have a runway closed on the east side of the airport ah i'm going to have to move you here we're going to have a lot of aircraft taxiing advise when you have an engine running i'm going to get you between the runways,968.62,977.44,
TWA550,LCW-1,okay we'll call you back,977.76,978.76,
LCW-1,TWA550,thank you,978.87,979.43,
LCW-1,AAL493,american four ninety three advise ready,981.53,983.34,
AAL493,LCW-1,four ninety three is ready,983.78,985.26,
LCW-1,AAL493,american four,985.37,985.95,transmission cut out
AAL493,LCW-1,say again,987.89,988.49,
LCW-1,AAL493,american four ninety three runway eighteen left taxi into position and hold,988.61,991.22,
AAL493,LCW-1,position and hold one eight left,991.60,993.27,
LCW-1,AAL1231,american twelve thirty one,1001.87,1003.12,
LCW-1,MTR931,metro nine thirty one contact departure,1006.76,1009.10,
MTR931,LCW-1,metro nine thirty one to departure so long,1009.17,1010.86,
LCW-1,AAL493,american four ninety three at the middle marker fly heading one eight five cleared for takeoff one eight left,1020.09,1023.86,
AAL493,LCW-1,one eight five at the middle marker cleared for takeoff american one eighty three,1024.62,1028.10,
LCW-1,AAL1231,american twelve thirty one tower,1028.53,1029.98,
AAL1231,LCW-1,yeah well sir here we are at ah approaching hasty,1030.65,1033.28,
LCW-1,AAL1231,american twelve thirty one runway one eight right cleared to land wind one,1033.53,1036.70,overridden by final monitor
AAL1231,MON,loud and clear,1039.58,1040.09,
LCW-1,AAL1231,american twelve thirty one cleared to land wind one eight zero at one two gusts two two,1041.65,1045.11,
AAL1231,LCW-1,thank you cleared to land one eight right,1045.96,1047.15,
LCW-1,AAL1067,american ten sixty seven contact departure,1047.28,1049.91,
AAL1067,LCW-1,going to departure american ten sixty seven good day,1050.38,1052.15,
TWA550,LCW-1,twa550 t w a five fifty is ready to move,1053.04,1054.33,
LCW-1,TWA550,t w a five fifty roger turn left taxi across runway one eight left then ah turn right on taxiway echo and hold short of taxiway eighteen,1054.56,1063.07,
TWA550,LCW-1,okay left across ah one eight left on nineteen and turn right and hold short of eighteen t w a ah five fifty,1063.51,1068.58,
CPL704,LCW-1,chaparral seven oh four is approach ah one three right,1069.56,1072.69,
LCW-1,CPL704,chaparral seven zero four runway one three right cleared to land,1076.57,1079.07,
CPL704,LCW-1,cleared to land one three chaparral seven oh four,1079.65,1081.84,
LCW-1,TWA550,and t w a five fifty change your plans turn left and taxi down runway one eight left turn right at taxiway twenty one then hold short of taxiway nineteen on taxiway echo there between the runways,1082.36,1092.09,
TWA550,LCW-1,okay you want us on echo short of nineteen we'll do that but taxi down one eight left and off at twenty one,1092.51,1097.56,
LCW-1,TWA550,thank you sir,1097.72,1098.41,
LCW-1,MTR820,metro eight twenty hold short of runway one eight right remain this frequency,1106.44,1109.48,
MTR820,LCW-1,eight twenty,1109.61,1110.40,
LCW-1,AAL493,american four ninety three contact departure,1117.32,1119.95,
AAL493,LCW-1,american four ninety three good day,1121.43,1122.86,
CPL762,LCW-1,chaparral seven sixty two i l s one three right,1124.19,1127.30,
LCW-1,CPL762,chaparral seven sixty two regional tower cleared to land runway one three right traffic two mile final wind one eight zero at one four,1127.37,1133.11,
AAL493,LCW-1,good morning departure american four ninety three two thousand one hundred,1139.94,1143.18,
LCW-1,AAL493,american four ninety three contact departure,1143.96,1145.90,
AAL493,LCW-1,forgot to switch sorry,1146.97,1148.27,
