from,to,text,time_start,time_end,comment
F1-1,N59U,navajo five nine uniform descend and maintain three thousand,20.37,23.23,
USA1929,F1-1,hello approach u s air nineteen twenty nine checking in six thousand,50.56,53.95,
F1-1,USA1929,u s air nineteen twenty nine boston approach fly heading three six zero descend and maintain three thousand,56.37,60.71,
USA1929,F1-1,three six zero and three thousand u s air nineteen twenty nine,60.94,64.55,
F1-1,TPS1010,trump ten ten contact tower one one niner point one,70.59,73.07,
TPS1010,F1-1,ten ten so long,73.4,74.63,
N59U,F1-1,five nine uniform has got the field,134.26,135.87,
F1-1,N59U,five nine uniform proceed inbound runway two two left ah hold short of runway two seven descent at pilots discretion,138.17,143.28,
N59U,F1-1,five nine u,145.07,146.07,
F1-1,USA1929,u s air nineteen twenty nine four miles from loner turn left heading two niner zero cross loner at or above three thousand cleared i l s d m e runway two seven approach,168.8,175.34,
USA1929,F1-1,okay two nine zero on the heading and ah cleared the i l s two seven approach maintain three thousand,175.9,181.04,
F1-1,N59U,navajo five niner uniform there is traffic arriving full length on runway two seven contact the tower on one one niner point one,182.22,188.12,
N59U,F1-1,one nineteen one,188.41,189.52,
USA1929,F1-1,okay two forty on the heading and we will intercept the i l s u s air ah nineteen twenty nine,222.61,227.31,
USA1929,F1-1,ah approach u s air nineteen twenty nine did you say go to ah tower now or stay with you,249.3,253.72,
USA1929,F1-1,okay so long,263.78,264.82,
ZAN920,F1-1,approach zantop nine twenty descending to six,377.78,380.03,
F1-1,ZAN920,zantop nine twenty boston approach roger fly heading zero nine zero,380.5,383.19,
ZAN920,F1-1,roger zero nine zero,383.5,384.55,
F1-1,ZAN920,zantop nine twenty descend and maintain three thousand,448.68,450.96,
ZAN920,F1-1,down to three nine twenty,451.4,452.57,
GAA300,F1-1,bizex three hundred is checking in five thousand ah field in sight,458.9,462.02,
F1-1,GAA300,bizex three hundred boston approach roger fly heading zero three zero,462.66,465.39,
GAA300,F1-1,thirty degrees,465.47,466.46,
F1-1,ZAN920,zantop nine twenty expect runway two two left to hold short of runway two seven report airport in sight,468.44,473.08,
