from,to,text,time_start,time_end,comment
ID-1,N8F,cessna three eight foxtrot say heading,2.03,4.57,
N8F,ID-1,three eight fox ah two seven zero,5.13,7.1,
ID-1,N8F,cessna three eight foxtrot roger what would you like for on course,7.17,9.59,
N8F,ID-1,ah on course about two sixty,10.67,12.88,
ID-1,N8F,november three eight foxtrot roger proceed on course heading two six zero,13.26,17.04,
N8F,ID-1,three eight fox thank you,17.39,18.72,
ID-1,N8F,twin cessna three eight foxtrot maintain v f r at four thousand,19.21,22.41,
N8F,ID-1,three eight fox maintain ah four thousand,23.11,25.31,
ID-1,N8F,cessna three eight foxtrot contact approach one two seven point two,45.73,49.93,
N8F,ID-1,one two seven point two thank you,50.26,51.93,
SHR9117,ID-1,ah shamrock ninety one one seven with you,55.18,57.14,
ID-1,SHR9117,shamrock ninety one seventeen heavy boston departure radar contact turn left heading one zero zero and say altitude leaving,57.44,63.55,
ID-1,TAP323,trans portugal three twenty three heavy turn right heading one five zero,72.39,75.56,
TAP323,ID-1,right one five zero trans portuguese three two three heavy,75.78,78.37,
ID-1,TAP323,trans portugal three twenty three heavy climb and maintain one zero thousand contact approach one two zero point six,79.95,85.48,
TAP323,ID-1,one two zero point six climbing one zero thousand,85.69,88.81,
ID-1,SHR9117,shamrock ninety one seventeen heavy climb maintain one zero thousand,89.34,93.55,
SHR9117,ID-1,roger to one zero thousand now heading one hundred,93.99,95.79,
ID-1,SHR9117,shamrock ninety one seventeen heavy contact approach one one eight point two five,148.46,153.41,
NERA3737,ID-1,boston departure nera thirty seven thirty seven is coming up on a thousand,156.95,160.18,
ID-1,NERA3737,nera thirty seven thirty seven boston departure radar contact climb maintain four thousand,160.43,164.81,
NERA3737,ID-1,up to four thousand nera thirty seven thirty seven,165.41,167.89,
PXX793,ID-1,departure pan am seven ninety three is ah out of six hundred for three thousand,233.05,237.18,
ID-1,PXX793,pan am seven ninety three boston departure radar contact,237.39,240.04,
PXX793,ID-1,seven ninety three,240.66,241.34,
ID-1,NERA3737,nera thirty seven thirty seven fly heading one five zero,262.01,265.39,
NERA3737,ID-1,one five zero nera thirty seven thirty seven,266.28,268.34,
ID-1,PXX793,pan am seven ninety three climb maintain four thousand,289.82,292.18,
PXX793,ID-1,up to four thousand pan am seven ninety three,292.38,294.57,
BTA3845,ID-1,jet link thirty eight forty five runway heading out of a thousand,311.55,314.21,
ID-1,BTA3845,jet link thirty eight forty five boston departure radar contact climb and maintain four thousand,322.75,327.35,
BTA3845,ID-1,up to four now thirty eight forty five,328.25,329.98,
ID-1,NERA3737,nera thirty seven thirty seven climb maintain one zero thousand contact approach one two zero point six,338.13,343.28,
NERA3737,ID-1,one two zero point six up to one zero thousand nera thirty seven thirty seven,343.32,346.69,
BTA3845,ID-1,o k thirty eight forty five looking no joy,361.61,363.76,different pilot
BTA3845,ID-1,o k stop it at three for now jet link thirty eight forty five,374.91,377.54,
BTA3845,ID-1,one niner zero looking for the traffic thirty eight forty five,389.74,392.63,original pilot
ID-1,BTA3845,jet link thirty eight forty five turn left heading one two zero,400.16,403.24,
BTA3845,ID-1,one two zero now thirty eight forty five,403.68,405.51,
PAA547,ID-1,departure good evening clipper five forty seven passing eight hundred feet for five thousand,410.52,416.18,
ID-1,PAA547,clipper five forty seven boston departure radar contact climb maintain one zero thousand,416.43,420.76,
PAA547,ID-1,ten thousand clipper five ah forty seven,421.01,424.0,
BTA3845,ID-1,o k out of three for four now thirty eight forty five we finally got him,439.37,442.26,
ID-1,BTA3845,roger,442.5,443.03,
ID-1,PAA547,clipper five forty seven turn left heading one zero zero,443.35,446.45,
PAA547,ID-1,one zero zero clipper five forty seven,446.47,449.3,
ID-1,PXX793,pan am seven ninety three contact approach one two zero point six,449.51,453.37,
PXX793,ID-1,one two zero point six pan am seven ninety three,454.0,456.7,
ID-1,BTA3845,jet link thirty eight forty five climb maintain five thousand,492.09,495.31,
BTA3845,ID-1,out of four for five now thirty eight forty five,495.79,498.26,
N10BW,ID-1,boston good evening twin cessna ah three eight one zero bravo whiskey with you out of eleven hundred two seven zero on the heading we have the chopper in sight,501.3,507.76,
ID-1,BTA3845,jet link thirty eight forty five when able proceed direct nantucket contact approach one two zero point six,508.56,513.79,
ID-1,PAA547,clipper five forty seven turn right heading two two zero,517.46,520.04,
PAA547,ID-1,two two zero clipper five forty seven,520.61,522.91,
ID-1,N10BW,cessna three one zero bravo whiskey boston departure radar contact climb maintain v f r four thousand,523.06,528.22,
DAL210,ID-1,delta two ten with you out of sixteen hundred,531.46,533.53,
ID-1,DAL210,delta two ah ten heavy boston departure radar contact climb maintain one zero thousand and fly heading one zero zero,533.8,540.77,
DAL210,ID-1,heading one zero zero and up to one zero thousand,541.18,544.52,
DAL210,ID-1,or was that one four zero thousand or one zero thousand,545.31,547.49,
ID-1,DAL210,one zero thousand delta two ten heavy,547.66,550.21,
DAL210,ID-1,one zero thousand delta two ten heavy,550.43,552.23,
ID-1,PAA547,clipper five forty seven turn right heading two seven zero,552.43,555.64,
PAA547,ID-1,two seven zero clipper five forty seven,555.64,558.3,
ID-1,PAA547,clipper five forty seven contact approach one two seven point two,558.45,561.89,
ID-1,PAA547,all right,565.3,565.74,
ID-1,N10BW,november zero bravo whiskey contact boston approach one two seven point two,569.17,573.68,
ID-1,DAL210,delta two ten heavy turn right heading one nine zero,607.75,610.41,
DAL210,ID-1,right to one nine zero delta two ten heavy,610.86,613.09,
ID-1,DAL210,delta two ten heavy turn right heading two seven zero contact approach one two seven point two,661.6,666.62,
DAL210,ID-1,two seven zero twenty seven two delta two ten good night,667.21,670.52,
ID-1,DAL210,night,670.79,671.12,
ID-1,ARN857,air nova eight fifty seven boston departure radar contact what was your assigned heading,676.69,680.55,
ARN857,ID-1,two seven ah make that three hundred,680.94,682.95,
ID-1,ARN857,air nova eight fifty seven roger fly heading three zero zero climb maintain four thousand,683.19,687.29,
COA367,ID-1,boston departure continental three sixty seven out of eight hundred now for five thousand,706.86,710.47,
ID-1,COA367,continental three sixty seven boston departure climb maintain one zero thousand radar contact,710.83,715.97,
COA367,ID-1,one zero thousand continental three sixty seven,716.43,718.38,
ID-1,ARN857,air nova eight fifty seven fly heading three one zero contact approach one one eight point two five,727.1,732.13,
ID-1,COA367,continental three sixty seven turn left heading zero niner zero,736.29,739.23,
COA367,ID-1,zero nine zero continental three sixty,739.25,740.56,pilot dropped last digit of id
ID-1,COA367,continental three sixty seven turn right heading two seven zero,798.64,801.97,
COA367,ID-1,right turn two seven oh continental three sixty seven,802.57,804.43,
USA373,ID-1,departure three seventy three fifteen for five,806.24,808.74,pilot omitted ident prefix
ID-1,USA373,u s air three seventy three boston departure radar contact turn left heading zero niner zero,808.99,813.32,
USA373,ID-1,zero nine zero u s three seventy three,813.62,815.39,pilot omitted part of ident prefix
ID-1,USA373,u s air three seventy three squawk three four two seven,833.29,836.91,
USA373,ID-1,three four two seven,837.75,838.8,
ID-1,COA367,continental three sixty seven contact boston approach one two seven point two,844.55,849.14,
COA367,ID-1,twenty seven two continental three sixty seven,850.27,852.43,
ID-1,COA367,affirmative,852.76,853.52,
COA367,ID-1,good day,853.66,854.05,
ID-1,USA373,u s air three seventy three turn right heading one five zero contact approach one two zero point six,887.77,892.81,
USA373,ID-1,twenty point six one fifty on the heading so long three seventy three,893.15,895.94,pilot omitted ident prefix
NWA180,ID-1,northwest one eighty is out of one climbing to five departure,912.25,914.95,
ID-1,NWA180,northwest one eighty boston departure radar contact climb maintain one zero thousand,915.2,919.46,
NWA180,ID-1,one zero thousand,919.72,920.64,
ID-1,NWA180,northwest one eighty turn left heading zero niner zero,932.55,935.99,
NWA180,ID-1,zero nine zero one eighty,936.43,937.69,pilot omitted ident prefix
ID-1,N00K,november zero zero kilo boston departure,992.11,994.48,
ID-1,N00K,november zero zero kilo boston,1000.15,1001.95,
ID-1,NWA180,northwest one eighty turn right heading one five zero,1011.27,1013.86,
NWA180,ID-1,one five zero northwest ah one eighty,1014.01,1016.5,
ID-1,N00K,gulfstream zero zero kilo boston departure radar contact climb maintain one zero thousand,1026.87,1031.77,
N00K,ID-1,climb to ten thousand four hundred kilo,1032.16,1033.84,
ID-1,NWA180,northwest one eighty contact approach one two zero point six,1034.15,1037.14,
NWA180,ID-1,twenty point six good night,1037.49,1038.58,
GAA333,ID-1,bizex three thirty three is fifteen hundred for three thousand one ninety on the heading,1040.97,1044.74,
ID-1,GAA333,bizex three thirty three boston departure radar contact present heading intercept the boston one nine two radial and resume own navigation climb maintain four thousand,1044.95,1052.86,
GAA333,ID-1,ah boston one nine two up to four thousand for three thirty three,1053.71,1057.46,pilot omitted ident prefix
ID-1,N00K,gulfstream zero zero kilo turn right heading one eight zero climb maintain one zero thousand,1057.67,1061.93,
N00K,ID-1,right one eight zero up to ten thousand four hundred kilo,1062.67,1065.1,
ID-1,GAA333,bizex three thirty three contact approach one two zero point six,1068.83,1072.73,
GAA333,ID-1,twenty point six see you,1073.09,1074.18,
USA1276,ID-1,boston departure u s air twelve seventy six passing thirteen hundred,1109.39,1112.97,
ID-1,USA1276,u s air twelve seventy six boston departure radar contact climb maintain one zero thousand,1114.1,1119.45,
USA1276,ID-1,climb to ten thousand twelve seventy six,1119.72,1122.11,pilot omitted ident prefix
ID-1,N00K,november zero zero kilo turn right heading two seven zero contact boston approach one two seven point two,1122.34,1128.45,
N00K,ID-1,one two seven point zero and right to two seventy four hundred kilo,1130.41,1133.25,
ID-1,N00K,frequency one two seven point two for november zero zero kilo,1133.39,1136.96,
N00K,ID-1,one two seven point two two four hundred kilo,1137.23,1139.97,
ID-1,USA1276,u s air twelve seventy six turn left heading zero niner zero climb and maintain one zero thousand,1140.16,1144.33,
USA1276,ID-1,zero niner zero to maintain one zero thousand u s twelve seventy six,1144.56,1147.95,pilot omitted part of ident prefix
USA406,ID-1,departure u s air one ah or correction four zero six checking in for two and a half for five,1174.12,1178.71,
ID-1,USA406,u s air four zero six boston departure radar contact turn left heading zero niner zero,1178.86,1182.76,
USA406,ID-1,zero nine zero u s air four zero six,1183.3,1185.6,
ID-1,USA1276,u s air twelve seventy six contact approach one one eight point two five,1185.96,1189.7,
USA1276,ID-1,eighteen two five twelve seventy six,1190.17,1192.32,pilot omitted ident prefix
ID-1,USA406,u s air four zero six climb maintain one zero thousand,1192.62,1195.9,
USA406,ID-1,ten one zero thousand u s air four zero six,1196.2,1198.72,
SHR132,ID-1,ah good evening departure shamrock one thirty two turning left to one four zero,1235.01,1238.73,
ID-1,USA406,u s air four zero six turn right heading one eight zero,1239.05,1241.5,
USA406,ID-1,one eight zero u s air four zero six,1241.7,1243.75,
ID-1,SHR132,shamrock one thirty two heavy boston departure radar contact turn left heading zero niner zero,1243.93,1248.08,
SHR132,ID-1,zero niner zero shamrock one thirty two,1248.11,1250.07,
ID-1,SHR132,shamrock one thirty two heavy climb maintain one zero thousand,1278.71,1282.14,
SHR132,ID-1,up to ten thousand shamrock one thirty two heavy,1282.35,1284.51,
ID-1,USA406,u s air four zero six do not exceed two five zero knots turn right heading two seven zero,1303.59,1308.55,
USA406,ID-1,two seven zero two fifty knots u s air four zero six,1308.98,1312.46,
ID-1,USA406,u s air four zero six contact boston approach one two seven point two,1312.65,1316.68,
ID-1,USA406,one two seven point two,1320.13,1321.76,
USA406,ID-1,twenty seven two u s air four zero six see you,1322.06,1324.46,
SHR132,ID-1,one thirty shamrock one thirty two,1327.97,1329.73,
ID-1,SHR132,shamrock one thirty two heavy contact approach one two zero point six,1330.11,1333.63,
SHR132,ID-1,one twenty point six so long,1333.87,1335.23,
ID-1,ACA809,air canada eight zero nine boston departure,1360.83,1363.06,
ACA809,ID-1,canada eight oh nine out of one point five,1363.41,1365.22,
ID-1,ACA809,air canada eight zero nine radar contact turn left heading zero niner zero climb and maintain one zero ten thousand,1365.33,1371.49,
ACA809,ID-1,one zero thousand left to zero nine zero air canada eight zero nine,1371.73,1374.69,
ID-1,ACA809,air canada eight zero nine contact approach one one eight point two five,1405.87,1410.03,
ACA809,ID-1,one one eight two five air canada eight zero nine,1410.35,1412.3,
UAL341,ID-1,departure united ah three forty one is out of a thou,1417.28,1420.23,
ID-1,UAL341,united three forty one boston departure radar contact climb maintain one zero thousand,1420.58,1425.5,
UAL341,ID-1,cleared to ten united ah three four one,1425.81,1428.04,
ID-1,UAL341,united three forty one turn left heading zero niner zero climb maintain one zero thousand,1451.84,1456.56,
ID-1,UAL341,zero nine zero up to ten united three four one,1457.31,1460.35,
NERA3775,ID-1,departure nera thirty seven seventy five leaving eight hundred two two zero assigned,1463.9,1468.18,
ID-1,NERA3775,nera thirty seven seventy five boston departure radar contact climb maintain four thousand,1468.44,1473.13,
NERA3775,ID-1,climbing to four thousand thirty seven seventy five,1473.68,1475.95,
ID-1,UAL341,united three forty one contact approach one one eight point two five,1482.61,1486.37,
UAL341,ID-1,eighteen and a quarter united ah three forty one,1486.53,1489.51,
ID-1,NERA3775,nera thirty seven seventy five fly heading one ah eight zero,1531.47,1535.17,
NERA3775,ID-1,one eight zero for thirty seven seventy five,1535.5,1537.58,pilot omitted ident prefix
ID-1,USA1277,u s air twelve seventy seven boston departure radar contact climb maintain one zero thousand,1549.27,1554.27,
USA1277,ID-1,up ten u s air twelve seventy seven,1554.56,1556.5,
ID-1,NERA3775,nera thirty seven seventy five fly heading one four zero,1565.82,1568.91,
