from,to,text,time_start,time_end,comment
LCW-1,DGT4,digital four boston skyways give way to your company inbound he is just inside the gate area there proceed as requested altimeter is three zero one one report airborne,14.99,22.87,aircraft on another frequency
LCW-1,GAA456,bizex four fifty six traffic holding in position cross runway two two right and contact ground point nine,29.87,33.70,
LCW-1,AAL291,american two ninety one turn left heading one four zero and contact departure,38.93,41.73,
AAL291,LCW-1,one forty to departure american two ninety one,41.85,44.30,
LCW-1,DAL1833,delta eighteen thirty three runway two two right cleared for takeoff,55.66,58.34,
DAL1833,LCW-1,eighteen thirty three cleared for takeoff two two right,60.98,63.25,pilot omitted ident prefix
LCW-1,NERA3724,nera thirty seven twenty four boston tower runway two two right taxi into position and hold,63.59,67.03,
NERA3724,LCW-1,position and hold thirty seven twenty four,67.16,69.50,pilot omitted ident prefix
LCW-1,DGT4,digital four radar contact say altitude,75.55,77.15,
LCW-1,DGT4,digital four roger,79.06,79.90,aircraft on another frequency
LCW-1,DGT1,digital one ident,80.09,81.37,
LCW-1,DGT1,digital one you're radar contact eight miles northwest you're cleared into the t c a maintain v f r at or below a thousand altimeter three zero one zero report the coast guard station,86.63,94.03,aircraft on another frequency
LCW-1,NERA3724,nera thirty seven twenty four runway two two right cleared for takeoff,95.58,98.24,
NERA3724,LCW-1,rolling thirty seven twenty four,98.46,100.33,pilot omitted ident prefix
LCW-1,NERA3761,nera thirty seven sixty one boston tower runway two two right taxi into position and hold,101.52,105.05,
NERA3761,LCW-1,position and hold thirty seven sixty one,105.25,107.19,pilot omitted ident prefix
LCW-1,DGT4,digital four traffic at twelve o'clock three miles opposite direction thousand feet,114.47,117.86,aircraft on another frequency
LCW-1,DAL1833,delta eighteen thirty three heading one four zero contact departure,122.52,125.11,
DAL1833,LCW-1,good day,125.43,126.06,
LCW-1,DGT1,digital one company traffic is ah twelve o'clock and three miles southbound on a hampshire route a thousand feet,126.43,132.14,aircraft on another frequency
LCW-1,DIG5,digital five departure from the city will be at your own risk traffic is a red metro liner just lifting off runway two two right will be in a right turn northwest bound advise him in sight,138.64,145.46,
LCW-1,DGT5,digital five you can proceed as requested report landing assured at the city winds at logan two seven zero one zero altimeter three zero one zero,147.93,154.19,aircraft on another frequency
LCW-1,NERA3724,nera thirty seven twenty four turn right heading three zero zero contact departure traffic will be a helicopter lifting off from the u s air gates he has has you in sight maintaining visual,155.54,163.34,
NERA3724,LCW-1,okay we'll see you,163.52,165.10,
LCW-1,COM903,commuter nine zero three boston tower traffic holding in position cross runway two two right and contact ground point nine,165.36,169.72,
COM903,LCW-1,nine zero three crossing the right side,169.78,171.48,
LCW-1,DGT4,digital four did you copy company traffic at twelve o'clock and a mile thousand,171.67,175.03,aircraft on another frequency
LCW-1,DAL367,delta three sixty seven boston tower traffic will hold in position cross runway two two right and contact ground point nine,181.78,186.37,
DAL367,LCW-1,crossing two two right delta three sixty seven,186.77,188.79,
LCW-1,DGT4,roger maintain visual separation with your company,190.44,192.59,transmission possibly to unk4 who is on another frequency
LCW-1,DGT1,digital one you did say you're landing at logan,193.53,195.17,
LCW-1,DGT1,roger report the coast guard station,196.31,197.75,aircraft on another frequency
LCW-1,DGT5,digital five roger,216.89,217.87,aircraft on another frequency
LCW-1,NERA3761,nera thirty seven sixty one runway two two right cleared for takeoff,219.19,221.63,
NERA3761,LCW-1,thirty seven sixty one cleared to go,222.01,223.77,pilot omitted ident prefix
LCW-1,N2TJ,king air nine nine two tango juliet boston tower runway two two right taxi into position and hold after departure turn right heading two four zero,224.07,229.63,
N2TJ,LCW-1,okay position and hold after departure two four zero,230.66,233.05,
LCW-1,N2TJ,king air two tango juliet runway two two right cleared for takeoff,252.78,255.20,
