from,to,text,time_start,time_end,comment
SM-1,USA1929,delta nineteen twenty nine the traffic correction u s air nineteen twenty nine the traffic's no longer a factor thanks for your help turn back to the right now heading zero four zero,1.32,7.55,
USA1929,SM-1,right to zero four zero now u s air nineteen twenty nine,7.85,10.69,
SM-1,DAL433,delta four thirty three traffic no factor turn right heading two zero zero contact boston center one three two point niner,11.28,16.62,
DAL433,SM-1,right two zero zero thirty two nine delta four thirty three good day,17.61,20.61,
SM-1,N5AS,november five alpha sierra verify you're landing at plymouth,42.78,44.98,
N5AS,SM-1,three four five alpha sierra that's affirmative,46.58,48.61,
SM-1,N5AS,november five alpha sierra say your heading,65.64,67.24,
N5AS,SM-1,to plymouth massachusetts,69.11,70.54,
SM-1,N5AS,say your heading five alpha sierra,71.80,73.60,
N5AS,SM-1,my heading is now one nine,77.18,79.21,
SM-1,USA1929,u s air nineteen twenty nine contact approach on one two six point five good day,103.17,106.55,
USA1929,SM-1,twenty six point five good day,106.79,108.68,
SM-1,N5AS,november five alpha sierra radar service terminated squawk one two zero zero frequency change approved good day,108.98,113.68,
N5AS,SM-1,three four five alpha sierra thank you very much for your assistance have a good day,114.25,117.33,
SM-1,N17Y,cessna two six one seven yankee boston approach,138.67,140.80,no reply; aircraft probably on another frequency
SM-1,N17Y,you're forty northwest of providence,163.12,165.07,no reply; aircraft probably on another frequency
SM-1,N17Y,november one seven yankee advise when you're ah two zero miles west of norwood,170.80,174.41,no reply; aircraft probably on another frequency
SM-1,N17Y,you're still well outside of boston's airspace,175.01,176.71,no reply; aircraft probably on another frequency
SM-1,N17Y,what altitude are you at,180.24,181.03,no reply; aircraft probably on another frequency
SM-1,N17Y,o k at your present altitude ah suggest boston center one three five point five five,188.32,193.01,no reply; aircraft probably on another frequency
SM-1,N20X,november two zero xray ah say again,210.93,213.81,no reply; aircraft probably on another frequency
SM-1,N20X,two zero xray ta still didn't ah understand your transmission you're two zero miles out,222.12,226.04,no reply; aircraft probably on another frequency
SM-1,N20X,two zero xray contact approach one two four point four,229.33,231.66,no reply; aircraft probably on another frequency
UAL1096,SM-1,boston approach united ten ninety six at one one thousand alpha,233.76,237.66,
SM-1,UAL1096,united ten ninety six boston approach altimeter's three zero one five depart inndy zero six zero vectors runway two seven,237.68,243.03,
UAL1096,SM-1,o k ah thirty fifteen depart providence heading zero six zero united ten ninety six,246.45,252.15,
N92TJ,SM-1,boston approach king air nine nine two tango juliet,256.15,258.87,
SM-1,UAL1096,united ten ninety six the boston altimeter's three zero one five and verify you got ah zero six zero off of inndy,265.20,270.09,
UAL1096,SM-1,o k ah thirty fifteen and zero six zero off of inndy united ten ninety six,270.96,275.76,
N11MA,SM-1,boston duke nine one one mike alpha is seven thousand,306.34,309.81,
SM-1,N11MA,duke nine one one mike alpha boston approach roger when able proceed ah direct hyannis,310.42,315.23,
N11MA,SM-1,direct hyannis we're proceeding direct,316.00,318.52,
USA781,SM-1,boston u s air seven eighty one seven thousand seven hundred for one four thousand two hundred and fifty knots,319.93,324.62,
SM-1,USA781,u s air seven eighty one boston approach roger,324.82,326.60,
USA615,SM-1,morning approach u s ah six fifteen is with one one thousand with alpha,327.94,331.37,pilot dropped part of ident prefix
SM-1,USA615,u s air six fifteen boston approach altimeter's three zero one five depart inndy heading zero six zero vectors i l s d m e runway two seven approach,332.08,338.23,
USA615,SM-1,thirty fifteen inndy ah zero six zero vectors two seven u s ah six fifteen,338.68,342.80,pilot dropped part of ident prefix
N600SC,SM-1,boston king air six hundred sugar charlie's with you off of norwood seven hundred for two thousand,349.76,354.75,pilot used incorrect phonetic word for letter s
SM-1,N600SC,six hundred sierra charlie boston departure radar contact maintain two thousand,355.16,358.74,
N600SC,SM-1,sugar charlie roger,359.04,360.43,
DAL211,SM-1,hello boston approach delta two eleven heavy climbing to one zero thousand out of thirty four hundred,362.50,368.19,
SM-1,DAL211,delta two eleven heavy boston approach climb maintain one four thousand do not exceed two five zero knots,368.63,373.04,
DAL211,SM-1,one four thousand not to exceed two fifty delta two eleven heavy,373.84,377.24,
SM-1,USA781,u s air seven eighty one turn right heading two zero zero,377.45,379.70,
USA781,SM-1,two zero zero u s air seven eighty one,380.18,382.13,
SM-1,N600SC,november zero sierra charlie contact approach one two seven point two,382.49,385.74,
N600SC,SM-1,twenty seven two sugar charlie good day,385.99,388.33,pilot used incorrect phonetic word for letter s
SM-1,UAL1096,united ten ninety six descend and maintain six thousand,425.74,428.15,
SM-1,UAL1096,united ten ninety six descend and maintain six thousand,433.42,436.11,
UAL1096,SM-1,roger down to six thousand united ah ten ninety six thank you,436.39,439.71,
SM-1,USA781,u s air seven eighty one contact boston center one three two point niner,440.25,443.95,
USA781,SM-1,thirty two nine u s air seven eighty one,444.73,446.66,
SM-1,N11MA,november one mike alpha contact cape approach one one eight point two,513.32,516.25,
N11MA,SM-1,eighteen two mike alpha so long,516.61,518.48,
SM-1,DAL211,delta two eleven heavy proceed direct nantucket,541.27,543.35,
DAL211,SM-1,direct to nantucket delta two eleven heavy,544.35,546.32,
SM-1,DAL211,delta two eleven heavy contact boston center one three two point niner,579.50,582.30,
DAL211,SM-1,thirty two nine delta two eleven heavy,583.13,584.80,
SM-1,UAL1096,united ten ninety six turn left heading zero three zero descend and maintain five thousand,585.17,588.69,
UAL1096,SM-1,left zero three zero down to five thousand united ten ninety six,589.03,592.95,
SM-1,UAL1096,united ten ninety six contact approach one two six point five,610.30,613.10,
UAL1096,SM-1,one twenty six point five united ten ninety six,613.64,616.09,
